Date,year,Address,City,Responsetime,lat,long
2012-04-07,2012,2000 Industrial Park Rd,Iowa City,4.32,41.6361062,-91.4948517
2012-04-10,2012,1418 Sycamore St,Iowa City,5.54,41.645058,-91.511273
2012-04-13,2012,1205 Laura Dr,Iowa City,6.22,41.684809,-91.543113
2012-05-03,2012,2000 Industrial Park Rd,Iowa City,4.11,41.6361062,-91.4948517
2012-05-07,2012,1001 Oakcrest St,Iowa City,5.42,41.6516561,-91.5530734
2012-05-13,2012,825 Hudson Ave,Iowa City,4.21,41.649512,-91.545818
2012-05-24,2012,2500 E Highway #6,Iowa City,3.39,41.6352244,-91.5000773
2012-06-13,2012,2240 Taylor Dr,Iowa City,3.4,41.6361489,-91.5183221
2012-07-11,2012,1914 Gleason Ave,Iowa City,3.47,41.637307,-91.50809
2012-07-21,2012,2238 Russell Dr,Iowa City,3.37,41.636156,-91.5147269
2012-07-22,2012,1035 Howell St,Iowa City,3.36,41.648457,-91.520572
2012-07-26,2012,2401 6 HWY E,Iowa City,4.05,41.6352244,-91.5000773
2012-08-04,2012,411 S Summit St,Iowa City,6.09,41.656159,-91.521645
2012-08-19,2012,403 S Johnson St,Iowa City,3.13,41.656515,-91.527686
2012-09-01,2012,712 E Market St,Iowa City,2.55,41.663848,-91.525154
2012-09-07,2012,816 Cross Park Ave,Iowa City,5.04,41.6390928,-91.5240941
2012-09-11,2012,1817 Hollywood Ct,Iowa City,3.07,41.639879,-91.51017
2012-09-29,2012,816 S Gilbert,Iowa City,2.46,41.6515939,-91.5310362
2012-10-12,2012,1205 Laura Dr,Iowa City,5.19,41.684809,-91.543113
2012-10-21,2012,612 Keswick Dr,Iowa City,3.12,41.652697,-91.567215
2012-10-24,2012,335 S Gilbert St,Iowa City,2.38,41.6571097,-91.5305105
2012-11-10,2012,225 S Grand Ave,Iowa City,2.15,41.6568467,-91.5460062
2012-11-29,2012,500 E Market St,Iowa City,2.4,41.6641176,-91.528466
2012-12-01,2012,413 Samoa Dr,Iowa City,4.11,41.6556519,-91.5765526
2012-12-01,2012,413 samoa Dr,Iowa City,4.48,41.6556519,-91.5765526
2013-01-12,2013,403 N 7th Ave,Iowa City,5.17,41.6668779,-91.511295
2013-01-22,2013,1515 Jackson Ave,Iowa City,5.06,41.650322,-91.513197
2013-01-23,2013,316 E Bloomington St,Iowa City,2.38,41.6646929,-91.5309064
2013-02-11,2013,115 S Lucas St,Iowa City,3.19,41.659451,-91.524676
2013-03-11,2013,1811 H St,Iowa City,4.01,41.648165,-91.508971
2013-03-21,2013,2440 Mormon Trek Blvd,Iowa City,6.27,41.6369661,-91.5650237
2013-03-25,2013,4810 Melrose Ave,Iowa City,4.46,41.6579291,-91.6058976
2013-04-03,2013,705 S Dubuque St,Iowa City,3.04,41.653041,-91.533612
2013-04-06,2013,1804 Ridgeway Dr,Iowa City,4.37,41.662669,-91.510469
2013-04-08,2013,2221 Muscatine Ave,Iowa City,1.45,41.649242,-91.502457
2013-04-23,2013,3146 E Washington St,Iowa City,6.22,41.661191,-91.486089
2013-05-02,2013,1311 W Benton St,Iowa City,3.47,41.650193,-91.55895
2013-05-17,2013,1134 Sandusky Dr,Iowa City,4.39,41.6371533,-91.5186361
2013-05-21,2013,1020 S Scott Blvd,Iowa City,6.38,41.6490984,-91.4816205
2013-06-06,2013,1809 Flatiron Ave,Iowa City,3.33,41.637623,-91.509625
2013-06-22,2013,2458 Bittersweet ct,Iowa City,5.39,41.6500318,-91.5751922
2013-06-23,2013,413 S Johnson St,Iowa City,2.35,41.656198,-91.527714
2013-06-30,2013,4 Sturgie Corner Dr,Iowa City,5.05,41.6490462,-91.5389429
2013-07-09,2013,2713 Hickory Trl,Iowa City,5.31,41.671019,-91.497664
2013-07-14,2013,619 N Governor St,Iowa City,3.31,41.668583,-91.5230349
2013-07-24,2013,2401 Highway #6,Iowa City,3.24,41.6352244,-91.5000773
2013-08-04,2013,4958 E Court St.,Iowa City,6.45,41.657863,-91.464065
2013-08-05,2013,1807 Winston Dr,Iowa City,5.06,41.666481,-91.509164
2013-08-08,2013,601 W Highway #6,Iowa City,5.31,41.6352244,-91.5000773
2013-08-21,2013,720 E market St,Iowa City,1.02,41.663846,-91.524861
2013-08-25,2013,2332 Lakeside Dr,Iowa City,5.16,41.633724,-91.503373
2013-09-06,2013,1018 Diana St,Iowa City,4.48,41.6494263,-91.5265606
2013-09-13,2013,1205 Laura Dr,Iowa City,7.03,41.684809,-91.543113
2013-10-04,2013,1219 Burns Ave,Iowa City,6.05,41.6352787,-91.5177779
2013-10-11,2013,934 West Side Dr,Iowa City,5.14,41.639183,-91.568884
2013-10-16,2013,36 W Court St,Iowa City,3.31,41.6566365,-91.5367592
2013-11-04,2013,328 N Dubuque,Iowa City,2.54,41.6656229,-91.532777
2013-11-07,2013,1314 Carroll St,Iowa City,5.15,41.646422,-91.524343
