Date,year,Address,City,Inc #,Turnout,Travel,RT original,Responsetime,address_geo,lat,long
2014-07-19,2014,1515 Prairie Du Chien Rd,Iowa City,14-3065,01:02:00,03:22:00,04:24:00,4.24,"1515 Prairie Du Chien Rd, Iowa City, Iowa",41.682457,-91.521914
2014-07-29,2014,715 E Burlington St,Iowa City,14-3228,00:44:00,01:57:00,02:41:00,2.41,"715 E Burlington St, Iowa City, Iowa",41.657556,-91.524952
2014-08-02,2014,245 S Gilbert St,Iowa City,14-3304,01:23:00,00:40:00,02:03:00,2.03,"245 S Gilbert St, Iowa City, Iowa",41.658467,-91.5302199
2014-08-02,2014,245 S Gilbert St,Iowa City,14-3303,01:05:00,01:14:00,02:19:00,2.19,"245 S Gilbert St, Iowa City, Iowa",41.658467,-91.5302199
2014-09-21,2014,1117 Church St,Iowa City,14-4184,01:06:00,02:31:00,03:37:00,3.37,"1117 Church St, Iowa City, Iowa",41.6681979,-91.51956
2014-09-23,2014,2609 Westwinds Dr,Iowa City,14-4205,01:46:00,03:03:00,04:49:00,4.49,"2609 Westwinds Dr, Iowa City, Iowa",41.650695,-91.577563
2014-09-24,2014,251 N Capitol St,Iowa City,14-4212,01:19:00,02:22:00,03:41:00,3.41,"251 N Capitol St, Iowa City, Iowa",41.6586749,-91.5361668
2014-10-06,2014,1032 N Dubuque,Iowa City,14-4437,01:14:00,02:28:00,03:42:00,3.42,"1032 N Dubuque, Iowa City, Iowa",41.674134,-91.532209
2014-10-13,2014,2128 S Riverside Dr,Iowa City,14-4582,01:20:00,05:23:00,06:43:00,6.43,"2128 S Riverside Dr, Iowa City, Iowa",41.6312726,-91.536116
2014-10-16,2014,611 S clinton St,Iowa City,14-4654,01:13:00,02:07:00,03:20:00,3.2,"611 S clinton St, Iowa City, Iowa",41.6540894,-91.5349654
2014-10-31,2014,130 N Linn St,Iowa City,14-4881,00:56:00,01:15:00,02:11:00,2.11,"130 N Linn St, Iowa City, Iowa",41.6630678,-91.5314794
2014-11-08,2014,1324 Kirkwood Ave,Iowa City,14-5026,01:13:00,02:31:00,03:44:00,3.44,"1324 Kirkwood Ave, Iowa City, Iowa",41.64976,-91.515618
2014-11-12,2014,2161 Willenbrock Cir,Iowa City,14-5103,02:25:00,04:44:00,07:09:00,7.09,"2161 Willenbrock Cir, Iowa City, Iowa",41.6759616,-91.5565936
2014-11-20,2014,716 Fairchild St,Iowa City,14-5217,01:08:00,02:27:00,03:35:00,3.35,"716 Fairchild St, Iowa City, Iowa",41.667146,-91.525041
2014-11-20,2014,10 Jema Ct,Iowa City,14-5215,01:19:00,02:33:00,03:52:00,3.52,"10 Jema Ct, Iowa City, Iowa",41.649295,-91.573033
2014-11-23,2014,2104 Miami Dr,Iowa City,14-5284,02:06:00,01:27:00,03:33:00,3.33,"2104 Miami Dr, Iowa City, Iowa",41.6362669,-91.5015449
2014-12-01,2014,917 Dover St,Iowa City,14-5397,01:12:00,04:17:00,05:29:00,5.29,"917 Dover St, Iowa City, Iowa",41.650376,-91.495184
2014-12-30,2014,601 W Highway #6,Iowa City,14-5818,01:14:00,02:23:00,03:37:00,3.37,"601 W Highway #6, Iowa City, Iowa",41.6352244,-91.5000773
2016-02-06,2016,1926 Broadway St,Iowa City,10-435,01:43:00,02:17:00,04:00:00,4,"1926 Broadway St, Iowa City, Iowa",41.6405972,-91.5200812
