Date,Year,Address,City,ResponseTime,lat,long
26-Jun-2010,2010,1535 Radio Road,Marion,8.33,42.058783,-91.51345
29-Jun-2010,2010,3230 DALEWOOD SE,Cedar Rapids,3.56,41.97871,-91.620622
5-Jul-2010,2010,112 OKLAHOMA AV SW,Cedar Rapids,6.52,41.917769,-91.662803
5-Jul-2010,2010,382 LESLEY NE,Cedar Rapids,6.35,42.0294716,-91.6899694
11-Jul-2010,2010,934 26TH SE,Cedar Rapids,3.14,41.975888,-91.630272
12-Jul-2010,2010,934 26TH SE,Cedar Rapids,3.35,41.975888,-91.630272
16-Jul-2010,2010,480 5th Avenue,Marion,2.41,42.0316,-91.60507
18-Jul-2010,2010,862 OAKLAND NE,Cedar Rapids,3.23,41.994578,-91.659267
20-Jul-2010,2010,419 36TH NE,Cedar Rapids,4.04,42.014414,-91.639191
22-Jul-2010,2010,20 Ash Drive,Marion,2.47,42.0342032,-91.5736747
23-Jul-2010,2010,479 5th Avenue,Marion,3.07,42.030436,-91.605133
23-Jul-2010,2010,3108 Carlisle Circle,Marion,6.16,42.0545149,-91.5780429
24-Jul-2010,2010,1680 9th Street,Marion,4.47,42.041646,-91.600815
2-Aug-2010,2010,304 K NW,Cedar Rapids,3.38,41.983869,-91.677818
2-Aug-2010,2010,699 31st Street,Marion,2.56,42.0336841,-91.5793755
3-Aug-2010,2010,1416 10TH NW,Cedar Rapids,4.4,41.9873819,-91.68615
3-Aug-2010,2010,834 Clark St,Iowa City,4.59,41.651216,-91.5192299
9-Aug-2010,2010,3500 29th Avenue,Marion,3.15,42.051012,-91.5736676
13-Aug-2010,2010,218 E Market St,Iowa City,3.43,41.6637729,-91.532317
15-Aug-2010,2010,3495 7th Avenue,Marion,2.36,42.0353343,-91.5752156
15-Aug-2010,2010,585 8th Avenue,Marion,2.43,42.033977,-91.604456
16-Aug-2010,2010,937 19TH SW,Cedar Rapids,5.02,41.959493,-91.6827519
18-Aug-2010,2010,1030 Indian Creek Circle,Marion,4.45,42.049949,-91.598157
19-Aug-2010,2010,1412 5TH SE,Cedar Rapids,4.54,41.982993,-91.652107
21-Aug-2010,2010,225 5TH NW,Cedar Rapids,3.53,41.976559,-91.679069
22-Aug-2010,2010,630 S Capitol St,Iowa City,3.02,41.653607,-91.535771
23-Aug-2010,2010,1018 TIARA NE,Cedar Rapids,6.02,42.056463,-91.649972
23-Aug-2010,2010,411 30TH STR SE,Cedar Rapids,16.33,41.9827511,-91.6240091
27-Aug-2010,2010,925 N SW,Cedar Rapids,4.12,41.966354,-91.673069
8-Sep-2010,2010,838 Walnut St,Iowa City,3.4,41.6505115,-91.5226453
9-Sep-2010,2010,640 16TH SW,Cedar Rapids,2.47,41.962129,-91.678741
9-Sep-2010,2010,Cottage Grove Pkw/Dows Rd,Marion,11.34,41.9884011,-91.5696704
11-Sep-2010,2010,1080 Silvercrest Way,Iowa City,7.28,41.6490592,-91.4806716
14-Sep-2010,2010,219 7TH SW,Cedar Rapids,4.57,41.9723339,-91.67947
15-Sep-2010,2010,955 15TH SW,Cedar Rapids,4.23,41.9626189,-91.683331
15-Sep-2010,2010,1301 5th Avenue,Marion,4.03,42.031811,-91.595037
17-Sep-2010,2010,770 7th Street,Marion,2.04,42.0339794,-91.6027926
17-Sep-2010,2010,2100 Highway 13,Marion,6.12,42.0126964,-91.550288
18-Sep-2010,2010,365 Marion Blvd,Marion,2.59,42.0290234,-91.6140983
18-Sep-2010,2010,225 Normandy Dr,Marion,3.49,42.0335529,-91.5678674
18-Sep-2010,2010,1350 Huntington Hills,Marion,10.42,42.073853,-91.595314
19-Sep-2010,2010,25 s Madison St,Iowa City,3.5,41.6609691,-91.5377053
20-Sep-2010,2010,5300 WILLOW CREEK SW,Cedar Rapids,4.02,41.9273891,-91.6938563
20-Sep-2010,2010,102 3rd Avenue,Marion,3.27,42.030064,-91.610077
