Incident FDID,County,Service Name,Time Diff : Alarm - Arrival,time_diff_edit,Incident Date,Year,Full Address,Incident City,Fire Incident Type - Code,Fire Incident Type,full_address_geocode,lat,long
IncidentFDID,County,ServiceName,TimeDiff:Alarm-Arrival,time_diff_edit,IncidentDate,Year,FullAddress,IncidentCity,FireIncidentType-Code,FireIncidentType,full_address_geocode,lat,long
