GIS_Number,"Map Name",Class,Doing_Business_As,Address,Deedholder,Acres,"Residential Occupancy Type","Style Descr","Year Built","Total Living Area","Commercial Occupancy Type","Year Built_2","2016 Total","2008 total"
142913000100000,"CITY PROPERTY",EXEMPT,"BUS GARAGE","8TH ST NW","CEDAR RAPIDS CITY OF",1.5593,"","","","","","",0,0
142820300100000,"CITY PROPERTY",EXEMPT,"CTY HALL","1ST ST SE","CEDAR RAPIDS CITY OF",1.2948,"","","","","","",0,0
143422600100000,"CITY PROPERTY",EXEMPT,"VACANT BUILDING","22ND AVE SW","CEDAR RAPIDS CITY OF",4.4693,"","","","","","",0,0
143422600200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SW","CEDAR RAPIDS CITY OF",0.3733,"","","","","","",0,0
191415800700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","ROOSEVELT RD SW","CEDAR RAPIDS CITY OF",0.251,"","","","","","",0,329
191415800800000,"CITY PROPERTY",EXEMPT,PAVILION,"ROOSEVELT RD SW","CEDAR RAPIDS CITY OF",0.266,"","","","","","",0,342
191415800900000,"CITY PROPERTY",EXEMPT,"FLAT PARKING","ROOSEVELT RD SW","CEDAR RAPIDS CITY OF",0.281,"","","","","","",0,377
142040601600000,"CITY PROPERTY",EXEMPT,"VACANT LAND","J AVE NW","CEDAR RAPIDS CITY OF",0.044,"","","","","","",0,2275
142047601200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","H AVE NW","CEDAR RAPIDS CITY OF",0.045,"","","","","","",0,2412
142040600400000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.074,"","","","","","",0,3073
142040701000000,"CITY PROPERTY",EXEMPT,"VACANT LAND","J AVE NW","CEDAR RAPIDS CITY OF",0.044,"","","","","","",0,3086
142048701200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","5TH ST NW","CEDAR RAPIDS CITY OF",0.064,"","","","","","",0,3360
142048001800000,"CITY PROPERTY",EXEMPT,"VACANT LAND","3RD ST NW","CEDAR RAPIDS CITY OF",0.064,"","","","","","",0,3600
142733100400000,"CITY PROPERTY",EXEMPT,"VACANT LAND","2ND ST SE","CEDAR RAPIDS CITY OF",0.129,"","","","","","",0,4000
142817600400000,"CITY PROPERTY",EXEMPT,"VACANT LAND","5TH ST SE","CEDAR RAPIDS CITY OF",0.037,"","","","","","",0,4376
143530300800000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.276,"","","","","","",0,5130
142730300500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","17TH AVE SE","CEDAR RAPIDS CITY OF",0.193,"","","","","","",0,6000
142822800200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","A AVE NW","CEDAR RAPIDS CITY OF",0.046,"","","","","","",0,6138
142048601700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.044,"","","","","","",0,6476
142910701800000,"BOWLING ALLEY",EXEMPT,"VACANT LAND","4TH ST NW","CEDAR RAPIDS CITY OF",0.048,"","","","","","",0,6651
142730300700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","17TH AVE SE","CEDAR RAPIDS CITY OF",0.0964,"","","","","","",0,6804
142733101700000,"CITY PROPERTY",EXEMPT,"ASPHALT PARKING LOT","15TH AVE SE","CEDAR RAPIDS CITY OF",0.0735,"","","","","","",0,7690
142822800300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","A AVE NW","CEDAR RAPIDS CITY OF",0.065,"","","","","","",0,8742
143530202500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.327,"","","","","","",0,8775
142910400200000,"CITY PROPERTY",EXEMPT,"VACANT  BUILDING","E AVE NW","CEDAR RAPIDS CITY OF",0.0231,"","","","","","",0,9040
142730701000000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.21,"","","","","","",0,9072
142040800500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","J AVE NW","CEDAR RAPIDS CITY OF",0.126,"","","","","","",0,9200
142733101600000,"CITY PROPERTY",EXEMPT,"VACANT LAND","15TH AVE SE","CEDAR RAPIDS CITY OF",0.0826,"","","","","","",0,9357
142048300400000,"CITY PROPERTY",EXEMPT,"VACANT LAND","G AVE NW","CEDAR RAPIDS CITY OF",0.129,"","","","","","",0,9600
142047700200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","H AVE NW","CEDAR RAPIDS CITY OF",0.106,"","","","","","",0,10964
142048600600000,"CITY PROPERTY",EXEMPT,"VACANT LOT","F AVE NW","CEDAR RAPIDS CITY OF",0.129,"","","","","","",0,12000
142048600700000,"CITY PROPERTY",EXEMPT,"VACANT LOT","F AVE NW","CEDAR RAPIDS CITY OF",0.129,"","","","","","",0,12000
142017900500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.11,"","","","","","",0,13365
142910100600000,"CITY PROPERTY",EXEMPT,"VAC LOT","4TH ST NW","CEDAR RAPIDS CITY OF",0.0528,"","","","","","",0,13935
142040801200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","I AVE NW","CEDAR RAPIDS CITY OF",0.067,"","","","","","",0,14291
192922800200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","18TH ST SW","CEDAR RAPIDS CITY OF",0.2089,"","","","","","",0,14742
142848301000000,"CITY PROPERTY",EXEMPT,"VACANT LOT","B ST SW","CEDAR RAPIDS CITY OF",0.1148,"","","","","","",0,16200
142730400300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","17TH AVE SE","CEDAR RAPIDS CITY OF",0.096,"","","","","","",0,16256
142840400300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","2ND ST SE","CEDAR RAPIDS CITY OF",0.096,"","","","","","",0,16392
143530202400000,"CITY PROPERTY",EXEMPT,"VACANT LAND","ROMPOT ST SE","CEDAR RAPIDS CITY OF",0.327,"","","","","","",0,16874
143542702000000,"CITY PROPERTY",EXEMPT,"VACANT LAND","HELEN CT SE","CEDAR RAPIDS CITY OF",0.259,"","","","","","",0,17698
143542702700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","HELEN CT SE","CEDAR RAPIDS CITY OF",0.259,"","","","","","",0,17698
142733100300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","2ND ST SE","CEDAR RAPIDS CITY OF",0.129,"","","","","","",0,18358
142733100500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","2ND ST SE","CEDAR RAPIDS CITY OF",0.096,"","","","","","",0,18828
142040701300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","6TH ST NW","CEDAR RAPIDS CITY OF",0.118,"","","","","","",0,20141
142840500400000,"CITY PROPERTY",EXEMPT,"VACANT LAND","2ND ST SE","CEDAR RAPIDS CITY OF",0.087,"","","","","","",0,20584
142733101000000,"CITY PROPERTY",EXEMPT,"VACANT LAND","2ND ST SE","CEDAR RAPIDS CITY OF",0.129,"","","","","","",0,20596
142726101200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","5TH ST SE","CEDAR RAPIDS CITY OF",0.056,"","","","","","",0,20643
142017901000000,"CITY PROPERTY",EXEMPT,"VACANT LAND","6TH ST NW","CEDAR RAPIDS CITY OF",0.1469,"","","","","","",0,20736
142726101300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","5TH ST SE","CEDAR RAPIDS CITY OF",0.057,"","","","","","",0,20824
142733100600000,"CITY PROPERTY",EXEMPT,"VACANT LAND","2ND ST SE","CEDAR RAPIDS CITY OF",0.096,"","","","","","",0,20937
142726100800000,"CITY PROPERTY",EXEMPT,"VACANT LAND","5TH ST SE","CEDAR RAPIDS CITY OF",0.071,"","","","","","",0,20943
142048100100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","4TH ST NW","CEDAR RAPIDS CITY OF",0.0884,"","","","","","",0,21042
142724001100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","6TH ST SE","CEDAR RAPIDS CITY OF",0.063,"","","","","","",0,22234
142817600500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","5TH ST SE","CEDAR RAPIDS CITY OF",0.041,"","","","","","",0,22441
143422601800000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SW","CEDAR RAPIDS CITY OF",0.119,"","","","","","",0,22686
142728200800000,"CITY PROPERTY",EXEMPT,"VACANT LAND","16TH AVE SE","CEDAR RAPIDS CITY OF",0.261,"","","","","","",0,22780
142730300600000,"CITY PROPERTY",EXEMPT,"VAC LOT","9TH ST SE","CEDAR RAPIDS CITY OF",0.0964,"","","","","","",0,22830
142848501200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","19TH AVE SW","CEDAR RAPIDS CITY OF",0.115,"","","","","","",0,22922
142725700600000,"CITY PROPERTY",EXEMPT,"VACANT LAND","7TH ST SE","CEDAR RAPIDS CITY OF",0.068,"","","","","","",0,22962
142725600200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","10TH AVE SE","CEDAR RAPIDS CITY OF",0.096,"","","","","","",0,23350
142817600700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","5TH ST SE","CEDAR RAPIDS CITY OF",0.083,"","","","","","",0,23485
142733001700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","2ND ST SE","CEDAR RAPIDS CITY OF",0.155,"Detached Structures Only","",1948,"","","",0,24054
142043000100000,"CITY PROPERTY",EXEMPT,"PAVING ONLY","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.1469,"","","","","","",0,24235
142732701200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","3RD ST SE","CEDAR RAPIDS CITY OF",0.096,"","","","","","",0,24686
142726101100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","5TH ST SE","CEDAR RAPIDS CITY OF",0.06,"","","","","","",0,25644
141745200200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.134,"","","","","","",0,25808
142910700200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","B AVE NW","CEDAR RAPIDS CITY OF",0.193,"","","","","","",0,26182
142726100700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","5TH ST SE","CEDAR RAPIDS CITY OF",0.071,"","","","","","",0,27352
142730301000000,"CITY PROPERTY",EXEMPT,"VACANT LAND","17TH AVE SE","CEDAR RAPIDS CITY OF",0.096,"","","","","","",0,27465
142040801700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","I AVE NW","CEDAR RAPIDS CITY OF",0.051,"","","","","","",0,28621
142733100900000,"CITY PROPERTY",EXEMPT,"VACANT LAND","2ND ST SE","CEDAR RAPIDS CITY OF",0.1286,"","","","","","",0,28821
142017900600000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.1469,"","","","","","",0,29144
142726101000000,"CITY PROPERTY",EXEMPT,"VACANT LAND","5TH ST SE","CEDAR RAPIDS CITY OF",0.066,"","","","","","",0,29248
142730400400000,"CITY PROPERTY",EXEMPT,"VACANT LAND","17TH AVE SE","CEDAR RAPIDS CITY OF",0.096,"","","","","","",0,29367
142848301300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","18TH AVE SW","CEDAR RAPIDS CITY OF",0.115,"","","","","","",0,29485
142047700300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","H AVE NW","CEDAR RAPIDS CITY OF",0.071,"","","","","","",0,29538
142730700300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","HULL AVE SE","CEDAR RAPIDS CITY OF",0.11,"","","","","","",0,30116
143117604800000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SW","CEDAR RAPIDS CITY OF",0.186,"","","","","","",0,30300
143117700900000,"CITY PROPERTY",EXEMPT,"","BALSAM DR SW","CEDAR RAPIDS CITY OF",0.232,"","","","","","",0,30300
