GIS_Number,"Map Name",Class,Doing_Business_As,Address,Deedholder,Acres,"Residential Occupancy Type","Style Descr","Year Built","Total Living Area","Commercial Occupancy Type","Year Built_2","2013 Total","2008 total"
141745202300000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.252,"","","","","","",0,102051
141745202400000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.114,"","","","","","",0,79607
141745300100000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.155,"","","","","","",0,83804
141745300500000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.204,"","","","","","",0,92288
141745300600000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.164,"","","","","","",0,82255
141745300700000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.164,"","","","","","",0,76659
141745300800000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.149,"","","","","","",0,75726
141745300900000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.164,"","","","","","",0,78352
141745301000000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.164,"","","","","","",0,84921
141745301100000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.164,"","","","","","",0,98684
141745301200000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.164,"","","","","","",0,86713
141745301300000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.164,"","","","","","",0,77902
141745301500000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.149,"","","","","","",0,78731
141745301600000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.164,"","","","","","",0,79588
141747600100000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.354,"","","","","","",0,129712
141747600200000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.548,"","","","","","",0,173140
141747600400000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.262,"","","","","","",0,154911
141747600500000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.295,"","","","","","",0,87877
141822600400000,"CITY PROPERTY",EXEMPT,"","ELLIS RD NW","CEDAR RAPIDS CITY OF",0.388,"","","","","","",0,30647
141822600500000,"CITY PROPERTY",EXEMPT,"","ELLIS RD NW","CEDAR RAPIDS CITY OF",0.452,"","","","","","",0,90787
141822600700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","ELLIS RD NW","CEDAR RAPIDS CITY OF",0.771,"","","","","","",0,196885
141840102100000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NW","CEDAR RAPIDS CITY OF",3.59,"","","","","","",0,""
142010100100000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.195,"","","","","","",0,117999
142010100400000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.324,"","","","","","",0,131930
142010100600000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.453,"","","","","","",0,106436
142010100700000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.44,"","","","","","",0,133223
142010101100000,"CITY PROPERTY",EXEMPT,"","PENN AVE NW","CEDAR RAPIDS CITY OF",0.12,"","","","","","",0,62730
142010101400000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.02,"","","","","","",0,""
142010200200000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.15,"","","","","","",0,54578
142010300100000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.178,"","","","","","",0,85543
142010300300000,"CITY PROPERTY",EXEMPT,"","5TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,83023
142010300400000,"CITY PROPERTY",EXEMPT,"","5TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,69813
142010300500000,"CITY PROPERTY",EXEMPT,"","5TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,77462
142010300600000,"CITY PROPERTY",EXEMPT,"","5TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,102589
142010300700000,"CITY PROPERTY",EXEMPT,"","5TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,73279
142010300800000,"CITY PROPERTY",EXEMPT,"","5TH ST NW","CEDAR RAPIDS CITY OF",0.086,"","","","","","",0,59537
142010300900000,"CITY PROPERTY",EXEMPT,"","O AVE NW","CEDAR RAPIDS CITY OF",0.047,"","","","","","",0,15223
142010301000000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.132,"","","","","","",0,56853
142010301100000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.153,"","","","","","",0,66663
142010301200000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.141,"Detached Structures Only","",2010,"","","",0,54721
142010301300000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,64200
142010301400000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.147,Single-Family,Salvage,1905,570.0,"","",0,68958
