GIS_Number,"Map Name",Class,Doing_Business_As,Address,Deedholder,Acres,"Residential Occupancy Type","Style Descr","Year Built","Total Living Area","Commercial Occupancy Type","Year Built_2","Gross Bldg Area","2008 total","2016 Total"
141645900100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","SHAVER RD NE","CEDAR RAPIDS CITY OF",0.1722,"","","","","","","",0,0
141645900200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","SHAVER RD NE","CEDAR RAPIDS CITY OF",0.0689,"","","","","","","",0,0
141645900400000,"CITY PROPERTY",EXEMPT,"VACANT LAND","SHAVER RD NE","CEDAR RAPIDS CITY OF",0.1194,"","","","","","","",0,0
141645900500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","SHAVER RD NE","CEDAR RAPIDS CITY OF",0.1245,"","","","","","","",0,0
141645900700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","SHAVER RD NE","CEDAR RAPIDS CITY OF",0.1607,"","","","","","","",0,0
141645901300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.126,"","","","","","","",0,0
141715300100000,"CITY PROPERTY",EXEMPT,"SECTION OF RIVER","VACANT LAND NE","CEDAR RAPIDS CITY OF",29.73,"","","","","","","",0,0
141717800200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",6.5,"","","","","","","",0,0
141720300100000,"CITY PROPERTY",EXEMPT,"PART OF CITY WATER WORKS","J AVE NE","CEDAR RAPIDS CITY OF",2.5,"","","","","","","",0,0
141722600100000,"CITY PROPERTY",EXEMPT,"HOUSEBOATS DOCKING","VACANT LAND NW","CEDAR RAPIDS CITY OF",15.0,"","","","","","","",0,0
141725200200000,"CITY PROPERTY",EXEMPT,"BOAT STORAGE & RIVER FRONT MAINTENANCE","ELLIS RD NW","CEDAR RAPIDS CITY OF",13.91,"","","","","","","",0,0
