"",Reporting precincts,Total Precincts,Trump,Clinton,Johnson,Write-in,Stein,Castle,Vacek,McMullin,Kahn,De La Fuente,La Riva,winner
Story,0,44,0,0,0,0,0,0,0,0,0,0,0,Trump
Tama,0,17,0,0,0,0,0,0,0,0,0,0,0,Trump
Taylor,8,8,2108,755,97,20,10,14,2,12,3,2,0,Trump
Union,0,9,0,0,0,0,0,0,0,0,0,0,0,Trump
Van Buren,9,9,2524,843,83,32,19,22,3,20,8,1,0,Trump
Wapello,21,23,8172,5408,352,130,108,46,40,62,28,4,1,Trump
Warren,30,32,13715,9751,1175,269,112,118,17,182,27,11,6,Trump
Washington,11,11,4115,2116,337,56,54,42,7,68,6,1,2,Trump
Wayne,0,5,0,0,0,0,0,0,0,0,0,0,0,Trump
Webster,29,29,10049,6293,568,170,113,64,24,104,16,5,3,Trump
Winnebago,0,11,0,0,0,0,0,0,0,0,0,0,0,Trump
Winneshiek,12,12,5332,5238,381,113,99,35,13,102,17,0,0,Trump
Woodbury,0,45,0,0,0,0,0,0,0,0,0,0,0,Trump
Worth,8,8,2443,1523,165,24,24,15,4,34,7,1,0,Trump
Wright,11,11,3790,1890,175,60,35,19,6,25,6,1,2,Trump
