"",Reporting precincts,Total Precincts,Trump,Clinton,Johnson,Write-in,Stein,Castle,Vacek,McMullin,Kahn,De La Fuente,La Riva,winner
Adair,6,6,2461,1133,127,38,14,10,10,10,5,3,0,Trump
Adams,6,6,1395,565,93,22,9,13,1,6,1,1,0,Trump
Allamakee,12,12,4093,2421,227,49,46,35,6,34,10,1,1,Trump
Appanoose,13,13,4031,1813,139,37,42,25,11,24,8,1,2,Trump
Audubon,3,3,2136,1080,107,30,24,17,4,9,2,2,1,Trump
Benton,20,20,8232,4678,542,139,86,61,13,70,17,2,4,Trump
Black Hawk,63,63,27476,32233,2368,835,610,203,97,490,60,22,11,Clinton
Boone,16,16,7484,5541,643,162,104,56,20,158,22,6,0,Trump
Bremer,14,14,7208,5356,543,171,81,54,21,88,10,5,1,Trump
Buchanan,16,16,5510,3970,478,105,54,58,9,48,17,2,1,Trump
Buena Vista,11,11,4903,2856,288,84,48,23,4,58,13,1,0,Trump
Butler,9,9,4921,2157,219,57,43,47,11,50,5,3,0,Trump
Calhoun,11,11,3468,1398,173,49,18,29,2,17,4,0,1,Trump
Carroll,14,14,6638,3309,318,90,61,41,13,54,19,1,0,Trump
Cass,14,14,4761,1951,206,57,52,25,8,51,13,0,1,Trump
Cedar,13,13,5295,3599,365,111,70,35,16,38,10,2,0,Trump
Cerro Gordo,27,27,11621,9862,851,256,130,26,21,145,43,8,2,Trump
Cherokee,8,8,4192,1679,206,65,29,29,7,41,9,1,0,Trump
Chickasaw,14,14,3742,2266,236,63,48,33,5,28,10,1,3,Trump
Clarke,8,8,2713,1465,160,39,18,26,4,20,9,0,0,Trump
Clay,13,13,5877,2249,288,63,35,25,6,58,13,2,1,Trump
Clayton,15,15,5317,3237,334,70,51,16,23,47,30,3,1,Trump
Clinton,27,27,11274,10094,825,267,184,105,103,135,66,5,6,Trump
Crawford,9,9,4617,1991,172,0,33,25,6,19,7,6,2,Trump
Dallas,35,35,19339,15701,1757,535,181,143,26,519,28,15,8,Trump
Davis,9,9,2723,977,85,20,25,17,6,21,7,1,0,Trump
Decatur,8,8,2296,1201,123,31,29,26,1,20,5,1,1,Trump
Delaware,13,13,5694,2957,337,69,40,38,18,47,39,0,2,Trump
Des Moines,17,17,9529,8212,635,300,134,75,36,130,40,8,4,Trump
Dickinson,15,15,6753,3056,292,89,54,31,14,51,8,6,0,Trump
Dubuque,36,36,23460,22850,2013,504,379,60,38,305,88,12,12,Trump
Emmet,12,12,3124,1357,139,41,26,20,13,16,16,0,1,Trump
Fayette,26,26,5620,3689,328,104,62,43,35,65,24,4,1,Trump
Floyd,9,9,4375,3179,241,69,60,43,8,63,16,3,3,Trump
Franklin,13,13,3163,1493,188,38,31,16,5,28,4,2,0,Trump
Fremont,6,6,2407,963,115,31,21,15,10,19,9,3,2,Trump
Greene,8,8,2820,1691,160,55,31,20,9,29,4,1,1,Trump
Grundy,8,8,4527,1856,233,96,38,37,11,50,21,3,0,Trump
Guthrie,9,9,3628,1732,258,53,19,20,15,18,7,0,0,Trump
Hamilton,9,9,4450,2715,259,80,31,51,5,67,8,3,0,Trump
Hancock,11,11,3977,1587,166,41,24,23,8,31,13,1,0,Trump
Hardin,9,9,5231,2774,294,69,28,8,3,68,9,4,4,Trump
Harrison,14,14,4902,2131,210,68,50,37,7,39,17,3,1,Trump
Henry,10,10,5779,2904,337,94,113,40,15,100,14,4,4,Trump
Howard,10,10,2611,1677,131,47,38,15,13,15,11,0,1,Trump
Humboldt,10,10,3568,1252,127,49,20,13,6,40,8,2,2,Trump
Ida,8,8,2655,792,103,21,9,8,4,16,2,0,2,Trump
Iowa,12,12,5205,3084,317,85,61,69,9,54,14,6,0,Trump
Jackson,17,17,5824,3837,319,102,85,53,14,55,12,7,2,Trump
Jasper,21,21,10560,7109,715,253,95,90,76,91,39,4,2,Trump
Jefferson,13,13,3748,3710,246,136,256,22,5,25,6,0,2,Trump
Johnson,58,58,21044,50200,2758,964,878,130,125,721,67,18,35,Clinton
Jones,15,15,5718,3779,305,109,62,40,31,49,24,1,2,Trump
Keokuk,16,16,3385,1337,139,43,28,17,1,15,6,1,1,Trump
Kossuth,21,21,5653,2543,194,70,33,22,26,36,28,1,1,Trump
Lee,23,23,8803,6215,511,187,145,77,78,84,39,8,5,Trump
Linn,87,87,48390,58935,5557,1703,1005,266,119,933,133,34,23,Clinton
Louisa,6,6,3069,1648,136,48,28,26,4,39,5,1,4,Trump
Lucas,8,8,2873,1236,115,50,28,18,6,16,4,0,1,Trump
Lyon,9,9,5192,920,137,32,18,18,7,35,16,1,1,Trump
Madison,10,10,5336,2666,344,71,41,37,5,81,11,1,1,Trump
Mahaska,12,12,7410,2606,316,95,38,35,9,73,13,0,0,Trump
Marion,18,18,10962,5482,706,223,73,111,19,204,28,7,1,Trump
Marshall,20,20,9125,7623,576,225,117,77,34,104,33,4,7,Trump
Mills,12,12,5067,2090,307,59,56,26,8,76,7,2,0,Trump
Mitchell,12,12,3190,1888,210,34,28,16,10,25,14,1,1,Trump
Monona,12,12,3120,1247,112,39,22,10,4,12,4,0,2,Trump
Monroe,8,8,2638,1056,104,14,13,20,3,15,1,1,0,Trump
Montgomery,8,8,3436,1314,152,39,38,21,5,27,8,1,3,Trump
Muscatine,24,24,9584,8368,748,213,183,87,63,136,42,3,7,Trump
O'Brien,10,10,5735,1314,195,36,27,22,4,30,16,3,2,Trump
Osceola,9,9,2531,552,73,13,10,10,0,20,3,0,1,Trump
Page,9,9,4893,1807,176,49,37,30,7,35,7,3,0,Trump
Palo Alto,7,7,3081,1398,131,24,20,12,9,13,14,0,1,Trump
Plymouth,14,14,9680,2885,343,102,52,33,5,72,14,1,3,Trump
Pocahontas,8,8,2702,963,115,23,14,21,6,14,6,1,0,Trump
Polk,178,178,93421,119671,10009,2891,1734,668,200,2372,221,73,51,Clinton
Pottawattamie,41,41,24447,15355,1469,431,327,93,137,253,154,8,6,Trump
Poweshiek,11,11,4936,4272,281,95,72,44,20,46,11,3,8,Trump
Ringgold,8,8,1820,753,72,19,8,15,2,7,5,2,0,Trump
Sac,10,10,3703,1270,129,42,23,17,4,15,8,1,0,Trump
Scott,64,64,39149,40440,3555,1119,784,298,99,647,85,28,16,Clinton
Shelby,10,10,4362,1662,174,63,28,21,5,39,13,2,1,Trump
Sioux,17,17,14785,2300,435,165,53,86,5,352,9,4,0,Trump
Story,44,44,19111,25085,2963,680,475,125,23,1037,61,15,15,Clinton
Tama,17,17,4970,3195,245,110,79,46,37,44,20,1,3,Trump
Taylor,8,8,2111,758,97,20,10,14,2,12,3,2,0,Trump
Union,9,9,3525,1922,213,57,52,26,9,18,9,1,0,Trump
Van Buren,9,9,2527,845,83,32,19,22,3,21,8,1,0,Trump
