"",Reporting precincts,Total Precincts,Trump,Clinton,Johnson,Write-in,McMullin,Castle,Kahn,Vacek,Stein,De La Fuente,La Riva,winner
Adair,1,6,845,529,34,6,5,3,2,2,2,1,0
Adams,0,6,0,0,0,0,0,0,0,0,0,0,0
Allamakee,0,12,0,0,0,0,0,0,0,0,0,0,0
Appanoose,0,13,0,0,0,0,0,0,0,0,0,0,0
Audubon,0,3,0,0,0,0,0,0,0,0,0,0,0
Benton,7,20,1761,773,122,29,9,9,3,3,14,1,0
Black Hawk,0,63,0,0,0,0,0,0,0,0,0,0,0
Boone,0,16,0,0,0,0,0,0,0,0,0,0,0
Bremer,0,14,0,0,0,0,0,0,0,0,0,0,0
Buchanan,0,16,0,0,0,0,0,0,0,0,0,0,0
Buena Vista,0,11,0,0,0,0,0,0,0,0,0,0,0
Butler,0,9,0,0,0,0,0,0,0,0,0,0,0
Calhoun,0,11,0,0,0,0,0,0,0,0,0,0,0
Carroll,4,14,1406,460,70,13,13,9,4,1,14,1,0
Cass,8,14,2139,758,114,23,25,12,7,4,32,0,0
Cedar,0,13,0,0,0,0,0,0,0,0,0,0,0
Cerro Gordo,17,27,8307,8290,626,219,103,16,36,19,106,7,1
Cherokee,8,8,4188,1676,206,63,41,29,9,7,29,1,0,Trump
Chickasaw,0,14,0,0,0,0,0,0,0,0,0,0,0
Clarke,0,8,0,0,0,0,0,0,0,0,0,0,0
Clay,1,13,2465,1280,82,20,20,15,8,5,10,2,0
Clayton,3,15,2054,1642,160,35,18,7,15,12,19,2,1
Clinton,1,27,4101,5830,273,126,57,38,28,44,59,3,2
Crawford,1,9,1730,953,54,24,7,10,5,1,14,1,0
Dallas,0,35,0,0,0,0,0,0,0,0,0,0,0
Davis,9,9,2721,976,85,20,20,17,7,6,25,1,0,Trump
Decatur,0,8,0,0,0,0,0,0,0,0,0,0,0
Delaware,10,13,4920,2592,266,56,41,34,31,12,30,0,2
Des Moines,0,17,0,0,0,0,0,0,0,0,0,0,0
Dickinson,0,15,0,0,0,0,0,0,0,0,0,0,0
Dubuque,1,36,8371,12912,685,228,105,24,39,15,115,4,4
Emmet,12,12,3121,1356,138,41,16,20,16,13,26,0,1,Trump
Fayette,3,26,1924,1725,103,38,21,15,11,9,22,0,0
Floyd,0,9,0,0,0,0,0,0,0,0,0,0,0
Franklin,1,13,937,625,58,9,5,2,3,2,8,0,0
Fremont,6,6,2401,959,115,31,19,15,9,10,21,3,2,Trump
Greene,0,8,0,0,0,0,0,0,0,0,0,0,0
Grundy,0,8,0,0,0,0,0,0,0,0,0,0,0
Guthrie,8,9,2537,908,187,34,12,15,4,7,10,0,0
Hamilton,0,9,0,0,0,0,0,0,0,0,0,0,0
Hancock,0,11,0,0,0,0,0,0,0,0,0,0,0
Hardin,0,9,0,0,0,0,0,0,0,0,0,0,0
Harrison,0,14,0,0,0,0,0,0,0,0,0,0,0
Henry,0,10,0,0,0,0,0,0,0,0,0,0,0
Howard,1,10,760,756,36,16,2,7,5,8,12,0,0
Humboldt,0,10,0,0,0,0,0,0,0,0,0,0,0
