"Teen Birth Rate - Ages 15-19 (per 1,000)",,
Adair,,
2010-2014,32.70745003,23.82335294
2009-2013,29.23627685,26.26224911
2008-2012,29.15451895,28.51917418
2007-2011,31.35689852,30.22344208
2006-2010,32.05849269,31.4561981
2005-2009,31.28430296,31.79598339
2004-2008,32.7176781,31.24050529
2003-2007,32.37410072,30.49203178
,,
Chickasaw,,
2011-2015,13.19406267,21.83210624
2010-2014,15.95744681,23.82335294
2009-2013,17.27748691,26.26224911
2008-2012,18.7012987,28.51917418
2007-2011,20.9825998,30.22344208
2006-2010,21.4677983,31.4561981
2005-2009,20.81316554,31.79598339
2004-2008,22.37762238,31.24050529
2003-2007,21.29587676,30.49203178
,,
Clarke,,
2011-2015,42.1286031,21.83210624
2010-2014,43.31864905,23.82335294
2009-2013,49.13294798,26.26224911
2008-2012,54.34015526,28.51917418
2007-2011,60.45865184,30.22344208
2006-2010,54.54545455,31.4561981
2005-2009,53.84110309,31.79598339
2004-2008,49.90403071,31.24050529
2003-2007,50.27932961,30.49203178
,,
Clay,,
2011-2015,25.39145154,21.83210624
2010-2014,28.16901408,23.82335294
2009-2013,32.59949196,26.26224911
2008-2012,37.12871287,28.51917418
2007-2011,34.66135458,30.22344208
2006-2010,32.54552499,31.4561981
2005-2009,33.72489579,31.79598339
2004-2008,29.9556213,31.24050529
2003-2007,26.73013548,30.49203178
,,
Clayton,,
2011-2015,17.18078875,21.83210624
2010-2014,17.40446462,23.82335294
2009-2013,16.05839416,26.26224911
2008-2012,20.48022599,28.51917418
2007-2011,19.23737547,30.22344208
2006-2010,19.57475532,31.4561981
2005-2009,18.78707976,31.79598339
2004-2008,17.96211626,31.24050529
2003-2007,16.16553508,30.49203178
,,
Clinton,,
2011-2015,34.37178167,21.83210624
2010-2014,37.81994142,23.82335294
2009-2013,38.50025164,26.26224911
2008-2012,41.36912091,28.51917418
2007-2011,44.50389105,30.22344208
2006-2010,46.64898746,31.4561981
2005-2009,44.95587885,31.79598339
2004-2008,43.58124112,31.24050529
2003-2007,42.33680227,30.49203178
,,
Crawford,,
2011-2015,34.56146071,21.83210624
2010-2014,40.1541921,23.82335294
2009-2013,40.72542157,26.26224911
2008-2012,41.42947502,28.51917418
2007-2011,40.01240695,30.22344208
2006-2010,37.17245582,31.4561981
2005-2009,32.47914184,31.79598339
2004-2008,34.42240373,31.24050529
2003-2007,34.33352568,30.49203178
,,
Dallas,,
2011-2015,13.7337484,21.83210624
2010-2014,14.95145631,23.82335294
2009-2013,16.20346631,26.26224911
2008-2012,17.95312836,28.51917418
2007-2011,19.05626134,30.22344208
2006-2010,22.27251072,31.4561981
2005-2009,24.3183493,31.79598339
2004-2008,25.96420469,31.24050529
2003-2007,25.90338039,30.49203178
,,
Davis,,
2011-2015,15.66757493,21.83210624
2010-2014,17.43375174,23.82335294
2009-2013,21.48997135,26.26224911
2008-2012,24.12280702,28.51917418
2007-2011,29.0486565,30.22344208
2006-2010,27.51629254,31.4561981
2005-2009,28.11824081,31.79598339
2004-2008,26.1669024,31.24050529
2003-2007,24.69135802,30.49203178
,,
Decatur,,
2011-2015,23.19309601,21.83210624
2010-2014,24.49646162,23.82335294
2009-2013,26.90829215,26.26224911
2008-2012,25.93818985,28.51917418
2007-2011,25.20107239,30.22344208
2006-2010,27.89473684,31.4561981
2005-2009,27.13773682,31.79598339
2004-2008,25.78086267,31.24050529
2003-2007,27.14493456,30.49203178
,,
Delaware,,
2011-2015,14.88095238,21.83210624
2010-2014,17.83398184,23.82335294
2009-2013,19.3174501,26.26224911
2008-2012,21.78090967,28.51917418
2007-2011,24.59016393,30.22344208
2006-2010,25.26512789,31.4561981
2005-2009,24.66091245,31.79598339
2004-2008,23.05825243,31.24050529
2003-2007,21.2514758,30.49203178
,,
Des Moines,,
2011-2015,36.01731602,21.83210624
2010-2014,37.71310487,23.82335294
