county,population,2011-2015,2010-2014,2009-2013,2008-2012,2007-2011,2006-2010,2005-2009,2004-2008,2003-2007
Keokuk,10361,25.90993214,29.20143027,28.12858783,25.01389661,24.25578831,19.35840708,20.70509233,27.02702703,29.96042962
Kossuth,15347,11.74989509,11.76470588,13.39109886,15.77529819,16.57874906,18.94502229,18.12250816,18.36158192,17.44186047
Lee,35552,40.74638233,42.07967084,44.90246596,46.86086485,47.72079772,49.45441746,48.55551688,45.39982803,41.79460935
Linn,214927,18.65671642,20.72016576,23.50516612,26.04094523,27.56704182,29.08290038,30.14272011,29.47311956,28.89064783
Louisa,11305,26.91511387,27.73497689,34.53529711,37.99392097,43.32669323,44.37869822,50.83088954,45.8984375,39.88326848
Lucas,8785,27.00729927,32.81027104,33.28710125,34.10641201,41.83266932,42.78416347,36.12982241,35.45673077,34.42136499
Lyon,11680,18.97642323,16.6858458,16.90140845,16.27780792,14.0625,11.09430156,10.73694485,9.601536246,6.202290076
Madison,15629,16.91581432,18.24817518,18.15930664,22.23137093,23.37981952,25.73529412,26.11179111,28.61815209,28.30188679
Mahaska,22420,21.86548575,24.50570872,27.3008725,25.58335676,32.26703755,38.06133625,40.46087889,39.26701571,42.1377184
Marion,33308,13.90799328,15.08456499,17.0694864,18.35138387,21.03681443,22.34553089,23.79159765,23.54716981,22.6039783
Marshall,40922,43.03599374,46.95121951,49.6903791,53.63061163,54.26829268,58.43045843,60.96393233,63.53546727,63.95065736
Mills,14946,23.08917197,23.03415409,25.9688374,28.50260939,25.90044516,27.34693878,26.2402624,22.20394737,17.8719867
Mitchell,10744,10.46831956,11.46914255,11.80257511,9.921671018,9.758602979,12.16421693,13.52705411,14.56554495,16.84532925
Monona,9149,17.17699776,18.92285298,18.84057971,21.32196162,21.95467422,24.54873646,23.32361516,28.94356006,31.89227498
Monroe,8019,27.97761791,31.56274057,33.03303303,43.18181818,41.95804196,47.81199352,44.38860972,44.68802698,37.25165563
Montgomery,10549,37.20663995,40.70096099,38.15937149,36.4640884,37.05722071,32.84868067,31.38297872,33.73748023,31.83023873
Muscatine,42857,35.69854561,37.62811127,40.89272858,45.12022631,47.5462255,50.47143649,52.7275277,53.77574371,52.99270073
Obrien,42857,18.83052527,26.58788774,27.8177458,31.33769878,34.56116417,33.22995126,30.48264183,32.09876543,30.26682597
Osceola,6279,32.99203641,29.60526316,27.97927461,23.03262956,20.62780269,20.18502944,18.16745656,21.06847254,23.37472608
Page,15737,35.4978355,37.3355961,44.94863014,46.72096014,44.87179487,41.94915254,41.35021097,32.45686113,30.66989508
Palo Alto,9263,15.39645881,18.93939394,20.08608321,21.00271003,20.6185567,19.00674433,18.70251315,18.86792453,14.61495222
Plymouth,24899,16.38209506,15.32479414,16.20264719,16.37852593,17.27272727,18.76978743,20.30227837,19.89716074,19.53467954
Pocahontas,7191,17.44186047,18.90359168,21.12029385,24.20051858,29.88691438,31.03709311,31.44654088,27.55905512,25.34854246
Polk,445136,25.28797441,27.83556927,31.59546187,34.91919162,38.94775843,41.13624408,42.71029612,42.45238912,42.88613375
Pottawattamie,93153,30.97691405,34.54264763,37.56287006,39.39145256,40.97278954,41.81623528,39.50695322,36.79585256,35.88803943
Poweshiek,18765,12.75,15.42672307,16.65423813,19.01704124,20.49780381,18.12907904,17.53139067,17.50291715,16.72473868
Ringgold,5082,20.66115702,18.86792453,20,23.77807133,26.9541779,33.33333333,45.25547445,46.71532847,56.57708628
