Casey's Location,County,County # (See Map),Walmart in town?,Title X Agency & Clinic (Nearby ?),Title X Satellite Clinic,Satellite Clinic with Referral for Physical Examination,latitude,longitude
Runnells,Polk,61,,,,,41.5111,-93.35743
Urbandale,Polk,61,,,,,41.63863,-93.78085
West Des Moines,Polk,61,YES,,,,41.5527,-93.78021
Minden,Pottawattamie,67,,,,,41.46694,-95.54278
Avoca,Pottawattamie,67,,,"Council Bluffs, IA (40 minutes away)",,41.47666,-95.33805
Council Bluffs,Pottawattamie,67,YES,,Planned Parenthood of the Heartland - Council Bluffs Center,,41.23889,-95.85384
Crescent,Pottawattamie,67,,,"Council Bluffs, IA (15 minutes away)",,41.365,-95.85807
Oakland,Pottawattamie,67,,,"Council Bluffs, IA (35 minutes away)",,41.307762999999994,-95.3977305
Treynor,Pottawattamie,67,,,"Council Bluffs, IA (20 minutes away)",,41.2325,-95.61306
Brooklyn,Poweshiek,59,,,"Oskaloosa, IA (50 minutes away)",,41.73361,-92.44546
Grinnell,Poweshiek,59,YES,,"Oskaloosa, IA (45 minutes away)",,41.74305,-92.72241
Montezuma,Poweshiek,59,,,"Oskaloosa, IA (35 minutes away)",,41.583338,-92.5258005
Mt. Ayr,Ringgold,92,,,,,40.71382,-94.23961399999999
Early,Sac,40,,,,,42.4597215,-95.15238500000001
Sac City,Sac,40,,,,,42.4222,-94.98971
Bettendorf,Scott,77,,"Davenport, IA (15-20 minutes away)",,,41.565087000000005,-90.478779
Blue Grass,Scott,77,,"Davenport, IA (15-20 minutes away)",,,41.50892,-90.76598
Buffalo,Scott,77,,"Davenport, IA (15-20 minutes away)",,,41.471114,-90.7275485
Davenport,Scott,77,YES,Edgerton Women's Health Center,,,41.541086,-90.5889795
Eldridge,Scott,77,,"Davenport, IA (20 minutes away)",,,41.65809,-90.58458
Le Claire,Scott,77,,"Davenport, IA (25 minutes away)",,,41.597272000000004,-90.3726895
Princeton,Scott,77,,"Davenport, IA (30 minutes away)",,,41.675526000000005,-90.3562255
Harlan,Shelby,65,,,Myrtue Medical Center - Harlan Clinic,,41.65304,-95.32555
Alton,Sioux,21,,,,,42.988589000000005,-96.0119415
Hawarden,Sioux,21,,,,,43.000425,-96.48048449999999
Hull,Sioux,21,,,,,43.189454,-96.13351800000001
Orange City,Sioux,21,,,,,43.00237,-96.0569
Sioux Center,Sioux,21,YES,,,,43.0764635,-96.1708905
Ames,Story,48,YES,,Planned Parenthood of the Heartland - Ames Center,,42.03471,-93.61994
