GIS_Number,Map Name,Class,Doing_Business_As,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,2016 Total,2008 total,Sale date,Amount,Non-Useable Transaction Code,Recording
1.4331E+14,CITY PROPERTY,EXEMPT,VACANT LAND,C ST SW,CEDAR RAPIDS CITY OF,0.088,,,,,,,0,48580,,,,
1.42833E+14,CITY PROPERTY,EXEMPT,VACANT LAND,N ST SW,CEDAR RAPIDS CITY OF,0.108,,,,,,,0,48654,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,H AVE NW,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,48823,,,,
1.42826E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SW,CEDAR RAPIDS CITY OF,0.052,,,,,,,0,48843,,,,
1.42911E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.046,,,,,,,0,48845,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,H AVE NW,CEDAR RAPIDS CITY OF,0.06,,,,,,,0,48925,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,19TH AVE SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,49018,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.074,,,,,,,0,49245,,,,
1.42918E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND AVE SW,CEDAR RAPIDS CITY OF,0.072,,,,,,,0,49366,,,,
1.42049E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.036,,,,,,,0,49466,,,,
1.43423E+14,CITY PROPERTY,EXEMPT,VACANT LOT,BOWLING ST SW,CEDAR RAPIDS CITY OF,0.1019,,,,,,,0,49514,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,G AVE NW,CEDAR RAPIDS CITY OF,0.064,,,,,,,0,49631,,,,
1.42833E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST SW,CEDAR RAPIDS CITY OF,0.061,,,,,,,0,49693,,,,
1.4283E+14,CITY PROPERTY,EXEMPT,VACANT LAND,3RD ST SW,CEDAR RAPIDS CITY OF,0.161,,,,,,,0,49763,,,,
1.42911E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.048,,,,,,,0,49835,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,17TH AVE SW,CEDAR RAPIDS CITY OF,0.057,,,,,,,0,49917,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,20TH AVE SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,50059,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,17TH AVE SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,50400,,,,
1.42911E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.034,,,,,,,0,50527,,,,
1.42018E+14,CITY PROPERTY,EXEMPT,VACANT LAND,M AVE NW,CEDAR RAPIDS CITY OF,0.074,,,,,,,0,50754,,,,
1.4204E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.161,,,,,,,0,50777,,,,
1.42828E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SW,CEDAR RAPIDS CITY OF,0.055,,,,,,,0,50805,,,,
1.43533E+14,CITY PROPERTY,EXEMPT,VACANT LAND,BLAKELY BLVD SE,CEDAR RAPIDS CITY OF,0.298,,,,,,,0,50809,,,,
1.4204E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.161,,,,,,,0,50849,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.088,,,,,,,0,50856,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,18TH AVE SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,51064,,,,
1.4353E+14,CITY PROPERTY,EXEMPT,VACANT LAND,ROMPOT ST SE,CEDAR RAPIDS CITY OF,0.276,,,,,,,0,51346,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,I AVE NW,CEDAR RAPIDS CITY OF,0.132,,,,,,,0,51511,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,20TH AVE SW,CEDAR RAPIDS CITY OF,0.103,,,,,,,0,51593,,,,
1.4291E+14,CITY PROPERTY,EXEMPT,VACANT LAND,C AVE NW,CEDAR RAPIDS CITY OF,0.193,,,,,,,0,51816,,,,
1.42725E+14,CITY PROPERTY,EXEMPT,VACANT LAND,10TH AVE SE,CEDAR RAPIDS CITY OF,0.096,,,,,,,0,51842,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,PAVING ONLY,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.646,,,,,,,0,51851,,,,
1.42914E+14,CITY PROPERTY,EXEMPT,VACANT LAND,B AVE NW,CEDAR RAPIDS CITY OF,0.084,,,,,,,0,51881,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.088,,,,,,,0,51896,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,H AVE NW,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,52200,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,52225,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.074,,,,,,,0,52356,,,,
1.42918E+14,CITY PROPERTY,EXEMPT,VACANT LAND WITH CONCRETE SLAB,6TH ST SW,CEDAR RAPIDS CITY OF,0.056,,,,,,,0,52406,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.088,,,,,,,0,52630,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,B ST SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,52673,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,G AVE NW,CEDAR RAPIDS CITY OF,0.078,,,,,,,0,52755,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,19TH AVE SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,52760,,,,
1.3244E+14,CITY PROPERTY,EXEMPT,FIRESTATION 3,CRESTWOOD DR NW,CEDAR RAPIDS CITY OF,0.855,,,,,,,0,53100,,,,
1.42043E+14,CITY PROPERTY,EXEMPT,VACANT LAND,8TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,53130,,,,
1.43423E+14,CITY PROPERTY,EXEMPT,VACANT LAND,C ST SW,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,53152,,,,
1.42019E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,53236,,,,
1.42049E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.11,,,,,,,0,53354,,,,
1.42828E+14,CITY PROPERTY,EXEMPT,VACANT LAND,1ST ST SW,CEDAR RAPIDS CITY OF,0.096,,,,,,,0,53445,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,3RD ST SE,CEDAR RAPIDS CITY OF,0.096,,,,,,,0,53493,,,,
1.4291E+14,CITY PROPERTY,EXEMPT,VACANT LAND,B AVE NW,CEDAR RAPIDS CITY OF,0.161,,,,,,,0,53677,,,,
1.42018E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,53684,,,,
1.42841E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.193,,,,,,,0,53868,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.087,,,,,,,0,53914,,,,
1.42826E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH AVE SW,CEDAR RAPIDS CITY OF,0.041,,,,,,,0,53935,,,,
1.4204E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,54061,,,,
1.42019E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,54172,,,,
1.42834E+14,CITY PROPERTY,EXEMPT,VACANT LAND,9TH AVE SW,CEDAR RAPIDS CITY OF,0.114,,,,,,,0,54290,,,,
1.42018E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,54390,,,,
1.4353E+14,CITY PROPERTY,EXEMPT,VACANT LAND,BLAKELY BLVD SE,CEDAR RAPIDS CITY OF,0.549,,,,,,,0,54448,,,,
1.42013E+14,CITY PROPERTY,EXEMPT,VACANT LAND,Q AVE NW,CEDAR RAPIDS CITY OF,0.084,,,,,,,0,54593,,,,
1.42018E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,54799,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.068,,,,,,,0,54849,,,,
1.42019E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,54899,,,,
1.42018E+14,CITY PROPERTY,EXEMPT,VACANT LAND,N AVE NW,CEDAR RAPIDS CITY OF,0.076,,,,,,,0,55000,,,,
1.4353E+14,CITY PROPERTY,EXEMPT,VACANT LAND,24TH AVE SE,CEDAR RAPIDS CITY OF,0.266,,,,,,,0,55012,,,,
1.42916E+14,CITY PROPERTY,EXEMPT,VACANT LAND,3RD AVE SW,CEDAR RAPIDS CITY OF,0.137,,,,,,,0,55139,,,,
1.42049E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.049,,,,,,,0,55360,,,,
1.4353E+14,CITY PROPERTY,EXEMPT,VACANT LAND,24TH AVE SE,CEDAR RAPIDS CITY OF,0.533,,,,,,,0,55705,,,,
1.42849E+14,CITY PROPERTY,EXEMPT,VACANT LAND,17TH AVE SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,55969,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,ELLIS BLVD NW,CEDAR RAPIDS CITY OF,0.098,,,,,,,0,56156,,,,
1.42849E+14,CITY PROPERTY,EXEMPT,VACANT LAND,18TH AVE SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,56200,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,18TH AVE SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,56263,,,,
1.42018E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,56315,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,ELLIS BLVD NW,CEDAR RAPIDS CITY OF,0.083,,,,,,,0,56403,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.087,,,,,,,0,56528,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,K AVE NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,56562,,,,
1.42948E+14,CITY PROPERTY,EXEMPT,VACANT LAND,10TH AVE SW,CEDAR RAPIDS CITY OF,0.138,,,,,,,0,56690,,,,
1.42019E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.103,,,,,,,0,56755,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,56840,,,,
1.43313E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SW,CEDAR RAPIDS CITY OF,0.061,,,,,,,0,56937,,,,
1.42043E+14,CITY PROPERTY,EXEMPT,VACANT LAND,8TH ST NW,CEDAR RAPIDS CITY OF,0.118,,,,,,,0,56956,,,,
1.42019E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,56964,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,20TH AVE SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,56999,,,,
1.42911E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.042,,,,,,,0,57189,,,,
1.4204E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,57241,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.088,,,,,,,0,57261,,,,
1.42013E+14,CITY PROPERTY,EXEMPT,VACANT LAND,O AVE NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,57377,,,,
1.42826E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH AVE SW,CEDAR RAPIDS CITY OF,0.1,,,,,,,0,57581,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,H AVE NW,CEDAR RAPIDS CITY OF,0.122,,,,,,,0,57621,,,,
1.42826E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH AVE SW,CEDAR RAPIDS CITY OF,0.113,,,,,,,0,57695,,,,
1.42849E+14,CITY PROPERTY,EXEMPT,VACANT LAND,18TH AVE SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,57716,,,,
1.42841E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.096,Single-Family,Salvage,1923,836,,,0,57891,,,,
1.42049E+14,CITY PROPERTY,EXEMPT,VACANT LAND,F AVE NW,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,57950,,,,
1.42826E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH AVE SW,CEDAR RAPIDS CITY OF,0.045,,,,,,,0,57980,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,G AVE NW,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,58051,,,,
1.42019E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,58053,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,I AVE NW,CEDAR RAPIDS CITY OF,0.06,,,,,,,0,58098,,,,
1.4283E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,58225,,,,
1.4204E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.161,,,,,,,0,58271,,,,
1.42019E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,58282,,,,
1.42919E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH AVE SW,CEDAR RAPIDS CITY OF,0.089,,,,,,,0,58311,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.055,,,,,,,0,58391,,,,
1.42043E+14,CITY PROPERTY,EXEMPT,VACANT LAND,ELLIS BLVD NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,58548,,,,
1.42011E+14,CITY PROPERTY,EXEMPT,VACANT LAND,ELLIS BLVD NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,58619,,,,
1.42011E+14,CITY PROPERTY,EXEMPT,VACANT LAND,O AVE NW,CEDAR RAPIDS CITY OF,0.07,,,,,,,0,58703,,,,
1.4204E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,58774,,,,
1.42043E+14,CITY PROPERTY,EXEMPT,VACANT LAND,8TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,58806,,,,
1.42826E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH AVE SW,CEDAR RAPIDS CITY OF,0.062,,,,,,,0,58815,,,,
1.42823E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND AVE SW,CEDAR RAPIDS CITY OF,0.096,,,,,,,0,58830,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,J AVE NW,CEDAR RAPIDS CITY OF,0.074,,,,,,,0,58946,,,,
1.42019E+14,CITY PROPERTY,EXEMPT,VACANT LAND,ELLIS BLVD NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,58978,,,,
1.4291E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.096,,,,,,,0,59096,,,,
1.42049E+14,CITY PROPERTY,EXEMPT,VACANT LAND,3RD ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,59176,,,,
1.42049E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.049,,,,,,,0,59278,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,H AVE NW,CEDAR RAPIDS CITY OF,0.065,,,,,,,0,59337,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,ELLIS BLVD NW,CEDAR RAPIDS CITY OF,0.118,,,,,,,0,59383,,,,
1.4353E+14,CITY PROPERTY,EXEMPT,VACANT LAND,24TH AVE SE,CEDAR RAPIDS CITY OF,0.266,,,,,,,0,59439,,,,
1.42019E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,59571,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,H AVE NW,CEDAR RAPIDS CITY OF,0.06,,,,,,,0,59709,,,,
1.42018E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,59953,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,G AVE NW,CEDAR RAPIDS CITY OF,0.06,,,,,,,0,60160,,,,
1.42941E+14,CITY PROPERTY,EXEMPT,VACANT LAND,9TH AVE SW,CEDAR RAPIDS CITY OF,0.043,,,,,,,0,60250,,,,
1.4291E+14,CITY PROPERTY,EXEMPT,VACANT LAND,B AVE NW,CEDAR RAPIDS CITY OF,0.103,,,,,,,0,60271,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST SE,CEDAR RAPIDS CITY OF,0.219,,,,,,,0,60453,,,,
1.42919E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST SW,CEDAR RAPIDS CITY OF,0.088,,,,,,,0,60599,,,,
1.42911E+14,CITY PROPERTY,EXEMPT,VACANT LAND,A AVE NW,CEDAR RAPIDS CITY OF,0.143,,,,,,,0,60752,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,H AVE NW,CEDAR RAPIDS CITY OF,0.06,,,,,,,0,60899,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.103,,,,,,,0,61078,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.118,,,,,,,0,61094,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.064,,,,,,,0,61600,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,61601,,,,
1.4204E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,61622,,,,
1.42824E+14,CITY PROPERTY,EXEMPT,FLAT PARKING,2ND AVE SW,CEDAR RAPIDS CITY OF,0.184,,,,,,,0,61851,,,,
1.4331E+14,CITY PROPERTY,EXEMPT,VACANT LAND,C ST SW,CEDAR RAPIDS CITY OF,0.193,,,,,,,0,61872,,,,
1.42849E+14,CITY PROPERTY,EXEMPT,VACANT LAND,B ST SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,62031,,,,
1.4291E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.048,,,,,,,0,62178,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,I AVE NW,CEDAR RAPIDS CITY OF,0.132,,,,,,,0,62182,,,,
1.42043E+14,CITY PROPERTY,EXEMPT,VACANT LAND,8TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,62246,,,,
1.43423E+14,CITY PROPERTY,EXEMPT,VACANT LAND,22ND AVE SW,CEDAR RAPIDS CITY OF,0.239,,,,,,,0,62253,,,,
1.42018E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,62260,,,,
1.42018E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,62369,,,,
1.42833E+14,CITY PROPERTY,EXEMPT,VACANT LAND,7TH AVE SW,CEDAR RAPIDS CITY OF,0.069,,,,,,,0,62537,,,,
1.42941E+14,CITY PROPERTY,EXEMPT,VACANT LAND,9TH AVE SW,CEDAR RAPIDS CITY OF,0.1,,,,,,,0,62573,,,,
1.42046E+14,CITY PROPERTY,EXEMPT,VACANT LAND,8TH ST NW,CEDAR RAPIDS CITY OF,0.064,,,,,,,0,62742,,,,
1.42011E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,62829,,,,
1.42833E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH AVE SW,CEDAR RAPIDS CITY OF,0.086,,,,,,,0,62849,,,,
1.42919E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH AVE SW,CEDAR RAPIDS CITY OF,0.076,,,,,,,0,62866,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.074,,,,,,,0,62949,,,,
1.42018E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,63004,,,,
1.41745E+14,CITY PROPERTY,EXEMPT,VACANT LAND,ELLIS BLVD NW,CEDAR RAPIDS CITY OF,0.148,,,,,,,0,63019,,,,
1.41745E+14,CITY PROPERTY,EXEMPT,VACANT LAND,8TH ST NW,CEDAR RAPIDS CITY OF,0.093,,,,,,,0,63034,,,,
1.41745E+14,CITY PROPERTY,EXEMPT,VACANT LAND,ELLIS BLVD NW,CEDAR RAPIDS CITY OF,0.297,,,,,,,0,63037,,,,
1.4204E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,63184,,,,
1.42833E+14,CITY PROPERTY,EXEMPT,VACANT LAND,L ST SW,CEDAR RAPIDS CITY OF,0.114,,,,,,,0,63247,,,,
1.4283E+14,CITY PROPERTY,EXEMPT,VACANT LAND,3RD ST SW,CEDAR RAPIDS CITY OF,0.069,,,,,,,0,63460,,,,
1.42849E+14,CITY PROPERTY,EXEMPT,VACANT LAND,18TH AVE SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,63478,,,,
1.42018E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.132,,,,,,,0,63565,,,,
1.42916E+14,CITY PROPERTY,EXEMPT,VACANT LAND,10TH ST NW,CEDAR RAPIDS CITY OF,0.057,,,,,,,0,63600,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,63617,,,,
1.42125E+14,CITY PROPERTY,EXEMPT,VACANT LAND,1ST ST NW,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,63675,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,G AVE NW,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,63834,,,,
1.42913E+14,CITY PROPERTY,EXEMPT,VACANT LAND,9TH ST NW,CEDAR RAPIDS CITY OF,0.064,,,,,,,0,64111,,,,
1.42049E+14,CITY PROPERTY,EXEMPT,VACANT LAND,3RD ST NW,CEDAR RAPIDS CITY OF,0.043,,,,,,,0,64131,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,A ST SW,CEDAR RAPIDS CITY OF,0.112,,,,,,,0,64143,,,,
1.42728E+14,CITY PROPERTY,EXEMPT,VACANT LAND,16TH AVE SE,CEDAR RAPIDS CITY OF,0.193,,,,,,,0,64147,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,G AVE NW,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,64253,,,,
1.42849E+14,CITY PROPERTY,EXEMPT,VACANT LAND,19TH AVE SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,64278,,,,
1.42019E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,64300,,,,
1.42018E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,64381,,,,
1.42043E+14,CITY PROPERTY,EXEMPT,VACANT LAND,8TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,64416,,,,
1.4291E+14,CITY PROPERTY,EXEMPT,VACANT LAND,E AVE NW,CEDAR RAPIDS CITY OF,0.1,,,,,,,0,64432,,,,
1.42043E+14,CITY PROPERTY,EXEMPT,VACANT LAND,ELLIS BLVD NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,64909,,,,
1.42013E+14,CITY PROPERTY,EXEMPT,VACANT LAND,8TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,64950,,,,
1.4353E+14,CITY PROPERTY,EXEMPT,VACANT LAND,24TH AVE SE,CEDAR RAPIDS CITY OF,0.266,,,,,,,0,65003,,,,
1.4331E+14,CITY PROPERTY,EXEMPT,VACANT LAND,20TH AVE SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,65068,,,,
1.42018E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,65089,,,,
1.42018E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,65204,,,,
1.42046E+14,CITY PROPERTY,EXEMPT,VACANT LAND,ELLIS BLVD NW,CEDAR RAPIDS CITY OF,0.083,,,,,,,0,65331,,,,
1.42018E+14,CITY PROPERTY,EXEMPT,VACANT LAND,ELLIS BLVD NW,CEDAR RAPIDS CITY OF,0.147,,,,,,,0,65357,,,,
