GIS_Number_valuations,Map_Name_valuations,Class_valuations,2009 Land,2009 Dwlg,2009 Improv,2009 Total
112632801700000,NE 160,Residential,29613,196263,0,225876
112632801800000,NE 160,Residential,28636,204047,0,232683
112632801900000,NE 160,Residential,29441,184368,0,213809
112632802000000,NE 160,Residential,30118,207259,0,237377
112632802100000,NE 160,Residential,28560,205835,0,234395
112632802200000,NE 160,Residential,29167,163923,0,193090
112632802300000,NE 160,Residential,27846,215637,0,243483
112632802400000,NE 160,Residential,29988,211275,0,241263
112632802500000,NE 160,Residential,28560,208825,0,237385
112632900100000,NE 160,Residential,30941,229752,0,260693
112632900200000,NE 160,Residential,28595,201867,0,230462
112632900300000,NE 160,Residential,27418,198962,0,226380
112632900400000,NE 160,Residential,29057,189990,0,219047
112632900500000,NE 160,Residential,29204,224475,0,253679
112632900600000,NE 160,Residential,27569,229343,0,256912
112632900700000,NE 160,Residential,29416,212594,0,242010
112632900800000,NE 160,Residential,27132,211401,0,238533
112632900900000,NE 160,Residential,28560,216141,0,244701
112632901000000,NE 160,Residential,29988,239756,0,269744
112632901100000,NE 160,Residential,28152,187203,0,215355
112632901200000,NE 160,Residential,28768,202970,0,231738
112632901300000,NE 160,Residential,29077,205864,0,234941
112635100100000,NE 160,Residential,30358,209537,0,239895
112635100200000,NE 160,Residential,28628,199209,0,227837
112635100300000,NE 160,Residential,29799,207269,0,237068
112635100400000,NE 160,Residential,28117,217490,0,245607
