GIS_Number,Doing_Business_As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area,_unnamed,2013 Land Res,2013 Land Comm,2013 Total Land,2013 Dwlg,2013 Improv,2013 Total
112732600500000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,1.81,,,,,,,,,0,0,0,0,0,0
112732601500000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,3.09,,,,,,,,,0,0,0,0,0,0
112735404100000,,EXEMPT,CITY PROPERTY,7520,COUNCIL ST NE,CEDAR RAPIDS CITY OF,5.84,,,,,,,,,0,0,0,0,0,0
112740200500000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,2.4424,,,,,,,,,0,0,0,0,0,0
112747600100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0
112845101200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,2.03,,,,,,,,,0,0,0,0,0,0
112845101400000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,4.04,,,,,,,,,0,0,0,0,0,0
112845101500000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,2.49,,,,,,,,,0,0,0,0,0,0
112847601500000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.41,,,,,,,,,0,0,0,0,0,0
112847701500000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.82,,,,,,,,,0,0,0,0,0,0
113132700100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.6054,,,,,,,,,0,0,0,0,0,0
113132701000000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0
113315103900000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,14.93,,,,,,,,,0,0,0,0,0,0
113315104000000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0
113410400200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.96,,,,,,,,,0,0,0,0,0,0
113413002200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0
113417700300000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,8.5,,,,,,,,,0,0,0,0,0,0
113425100100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,2.78,,,,,,,,,0,0,0,0,0,0
113425400300000,,EXEMPT,CITY PROPERTY,6900,COUNCIL ST NE,CEDAR RAPIDS CITY OF,0.45,,,,,,,,,0,0,0,0,0,0
113425800100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.97,,,,,,,,,0,0,0,0,0,0
113425900100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,1.4,,,,,,,,,0,0,0,0,0,0
113440300100000,,EXEMPT,CITY PROPERTY,415,BRODERICK DR NE,CEDAR RAPIDS CITY OF,0.5939,,,,,,,,,0,0,0,0,0,0
