GIS_Number,GIS_Number_2,Doing Business As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area,_unnamed
132515100100000,132515100100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.5854,,,,,,,,
132515100200000,132515100200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.281,,,,,,,,
132515100300000,132515100300000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.4215,,,,,,,,
132515200100000,132515200100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,10.53,,,,,,,,
132515300800000,132515300800000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.2984,,,,,,,,
132517600200000,132517600200000,,Exempt,E-15 CITY,3572,JOHNSON AVE NW,CITY OF CEDAR RAPIDS,4.0,,,,,,,,
132520401600000,132520401600000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.4624,,,,,,,,
132525301500000,132525301500000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.2254,,,,,,,,
132525301600000,132525301600000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,2.4929,,,,,,,,
132525800100000,132525800100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.71,,,,,,,,
132527601000000,132527601000000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.5676,,,,,,,,
132528400100000,132528400100000,,Exempt,E-15 CITY,4201,JUPITER AVE NW,CITY OF CEDAR RAPIDS,0.1688,,,,,,,,
132528400200000,132528400200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.5506,,,,,,,,
132528500100000,132528500100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.18,,,,,,,,
132528600600000,132528600600000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,3.17,,,,,,,,
132528700100000,132528700100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.27,,,,,,,,
132528700200000,132528700200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.83,,,,,,,,
132530300200000,132530300200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.05,,,,,,,,
132532700200000,132532700200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,3.16,,,,,,,,
132535100500000,132535100500000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.91,,,,,,,,
132537700100000,132537700100000,,Exempt,E-15 CITY,100,WILEY BLVD SW,CITY OF CEDAR RAPIDS,1.0,,,,,,,,
132548000600000,132548000600000,VACANT LAND,Exempt,E-15 CITY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.988,,,,,,,,
132610400900000,132610400900000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.0459,,,,,,,,
132627600100000,132627600100000,,Exempt,E-15 CITY,341,STONEY POINT RD NW,CITY OF CEDAR RAPIDS,61.27,,,,,,,,
132632700300000,132632700300000,,Exempt,E-15 CITY,0,VACANT LAND SW,CITY OF CEDAR RAPIDS,2.5379,,,,,,,,
132632800900000,132632800900000,,Exempt,E-15 CITY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.028,,,,,,,,
132642702200000,132642702200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,6.96,,,,,,,,
132710300100000,132710300100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.49,,,,,,,,
132710400700000,132710400700000,,Exempt,E-15 CITY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.52,,,,,,,,
132712701800000,132712701800000,,Exempt,E-15 CITY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,,,,,,,,,
132725500200000,132725500200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.86,,,,,,,,
132740103500000,132740103500000,,Exempt,E-15 CITY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,1.88,,,,,,,,
132742700100000,132742700100000,,Exempt,E-15 CITY,0,VACANT LAND SW,CITY OF CEDAR RAPIDS,0.5254,,,,,,,,
133517600100000,133517600100000,,Exempt,E-15 CITY,0,VACANT LAND SW,CITY OF CEDAR RAPIDS,16.39,,,,,,,,
140320400100000,140320400100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.33,,,,,,,,
