GIS_Number_valuations,Map_Name_valuations,Class_valuations,2010 Land Res,2010 Land Comm,2010 Land Total,2010 Dwlg,2010 Improv,2010 Total
112632900800000,NE 160,Residential,27132,0,27132,207403,0,234535
112632900900000,NE 160,Residential,28560,0,28560,208196,0,236756
112632901000000,NE 160,Residential,29988,0,29988,237741,0,267729
112632901100000,NE 160,Residential,28152,0,28152,187479,0,215631
112632901200000,NE 160,Residential,28768,0,28768,197344,0,226112
112632901300000,NE 160,Residential,29077,0,29077,207734,0,236811
112635100100000,NE 160,Residential,30358,0,30358,209860,0,240218
112635100200000,NE 160,Residential,28628,0,28628,196010,0,224638
112635100300000,NE 160,Residential,29799,0,29799,205230,0,235029
112635100400000,NE 160,Residential,28117,0,28117,213828,0,241945
112635100500000,NE 160,Residential,31091,0,31091,257347,0,288438
112635100600000,NE 160,Residential,30677,0,30677,258356,0,289033
112635100700000,NE 160,Residential,28591,0,28591,182450,0,211041
112635100800000,NE 160,Residential,29757,0,29757,199633,0,229390
112635200100000,NE 160,Residential,28679,0,28679,185041,0,213720
112635200200000,NE 160,Residential,30891,0,30891,208321,0,239212
112635200300000,NE 160,Residential,29106,0,29106,197899,0,227005
112635200400000,NE 160,Residential,30345,0,30345,223792,0,254137
112635300100000,NE 160,Residential,30184,0,30184,230186,0,260370
112635300200000,NE 160,Residential,28566,0,28566,190432,0,218998
112635300300000,NE 160,Residential,30297,0,30297,178854,0,209151
112635300400000,NE 160,Residential,28560,0,28560,182897,0,211457
112635300500000,NE 160,Residential,28560,0,28560,197246,0,225806
112635300600000,NE 160,Residential,28842,0,28842,190369,0,219211
112635300700000,NE 160,Residential,28828,0,28828,192452,0,221280
112635300800000,NE 160,Residential,29225,0,29225,198423,0,227648
112635300900000,NE 160,Residential,28538,0,28538,199487,0,228025
112635301000000,NE 160,Residential,28560,0,28560,182379,0,210939
112635301100000,NE 160,Residential,28560,0,28560,171924,0,200484
112635301200000,NE 160,Residential,28190,0,28190,216677,0,244867
112635301300000,NE 160,Residential,29939,0,29939,196037,0,225976
112635301400000,NE 160,Residential,30316,0,30316,184757,0,215073
112635301500000,NE 160,Residential,29925,0,29925,186318,0,216243
112635301600000,NE 160,Residential,30330,0,30330,203551,0,233881
112635301700000,NE 160,Residential,28574,0,28574,213805,0,242379
112635301800000,NE 160,Residential,29988,0,29988,230229,0,260217
112635301900000,NE 160,Residential,27132,0,27132,190691,0,217823
112635302000000,NE 160,Residential,29432,0,29432,252977,0,282409
112635302100000,NE 160,Residential,29869,0,29869,205902,0,235771
112635302200000,NE 160,Residential,29869,0,29869,209182,0,239051
112635302300000,NE 160,Residential,29234,0,29234,203763,0,232997
112635302400000,NE 160,Residential,28870,0,28870,204967,0,233837
112635302500000,NE 160,Residential,29080,0,29080,191802,0,220882
112635302600000,NE 160,Residential,30715,0,30715,194999,0,225714
112635302700000,NE 160,Residential,31395,0,31395,207787,0,239182
112635302800000,NE 160,Residential,29400,0,29400,205564,0,234964
112635400100000,NE 160,Residential,28333,0,28333,155752,0,184085
112635400200000,NE 160,Residential,28560,0,28560,204104,0,232664
112635400300000,NE 160,Residential,29466,0,29466,205162,0,234628
112635400400000,NE 160,Residential,29938,0,29938,209737,0,239675
112635400500000,NE 160,Residential,30381,0,30381,213537,0,243918
112635400600000,NE 160,Residential,33005,0,33005,182666,0,215671
112635400700000,NE 160,Residential,32452,0,32452,217383,0,249835
112635400800000,NE 160,Residential,29976,0,29976,205177,0,235153
112635400900000,NE 160,Residential,29420,0,29420,243702,0,273122
112635401000000,NE 160,Residential,29267,0,29267,213118,0,242385
112635401100000,NE 160,Residential,28854,0,28854,208523,0,237377
112635401200000,NE 160,Residential,29566,0,29566,186774,0,216340
112635401300000,NE 160,Residential,29830,0,29830,195587,0,225417
112635401400000,NE 160,Residential,30444,0,30444,242776,0,273220
112635401500000,NE 160,Residential,30559,0,30559,208536,0,239095
112635401600000,NE 160,Residential,30667,0,30667,228840,0,259507
112635401700000,NE 160,Residential,46350,0,46350,266250,0,312600
112635401800000,NE 160,Residential,31601,0,31601,249584,0,281185
112635401900000,NE 160,Residential,30521,0,30521,209482,0,240003
112635402000000,NE 160,Residential,30523,0,30523,209074,0,239597
112635402100000,NE 160,Residential,30674,0,30674,230570,0,261244
112635402200000,NE 160,Residential,29130,0,29130,201151,0,230281
112635402300000,NE 160,Residential,30800,0,30800,218042,0,248842
112635402400000,NE 160,Residential,29188,0,29188,192515,0,221703
112635402500000,NE 160,Residential,28000,0,28000,232597,0,260597
112635402600000,NE 160,Residential,29792,0,29792,215877,0,245669
112635402700000,NE 160,Residential,29792,0,29792,191591,0,221383
112635402800000,NE 160,Residential,29792,0,29792,218379,0,248171
112635402900000,NE 160,Residential,29420,0,29420,193435,0,222855
112635403000000,NE 160,Residential,28616,0,28616,186226,0,214842
112635403100000,NE 160,Residential,29715,0,29715,178923,0,208638
112635403200000,NE 160,Residential,30164,0,30164,256878,0,287042
112635403300000,NE 160,Residential,30264,0,30264,209014,0,239278
112635403400000,NE 160,Residential,29543,0,29543,167361,0,196904
112635403500000,NE 160,Residential,28989,0,28989,213056,0,242045
112635403600000,NE 160,Residential,30070,0,30070,203669,0,233739
112635403700000,NE 160,Residential,31086,0,31086,207614,0,238700
112635403800000,NE 160,Residential,30070,0,30070,231333,0,261403
