GIS_Number_valuations,Map_Name_valuations,Class_valuations,2013 Land Res,2013 Land Comm,2013 Total Land,2013 Dwlg,2013 Improv,2013 Total
112235302100000,NE 175,AG LAND,30955,0,30955,0,0,30955
112625100100000,CHURCH,EXEMPT,0,464400,464400,0,518023,982423
112625100200000,CHURCH,EXEMPT,0,663984,663984,0,9055210,9719194
112630300100000,NE 160,RESIDENTIAL,30870,0,30870,176889,0,207759
112630300200000,NE 160,RESIDENTIAL,29734,0,29734,208005,0,237739
112630300300000,NE 160,RESIDENTIAL,29070,0,29070,204855,0,233925
112630400100000,NE 160,RESIDENTIAL,30345,0,30345,268557,0,298902
112630400200000,NE 160,RESIDENTIAL,28560,0,28560,210846,0,239406
112630400300000,NE 160,RESIDENTIAL,28666,0,28666,208941,0,237607
112630400400000,NE 160,RESIDENTIAL,29988,0,29988,216979,0,246967
112630400500000,NE 160,RESIDENTIAL,28882,0,28882,217385,0,246267
112630400600000,NE 160,RESIDENTIAL,28759,0,28759,211945,0,240704
112630400700000,NE 160,RESIDENTIAL,26600,0,26600,197134,0,223734
112630400800000,NE 160,RESIDENTIAL,28000,0,28000,206133,0,234133
112630400900000,NE 160,RESIDENTIAL,29506,0,29506,218494,0,248000
112630401000000,NE 160,RESIDENTIAL,29144,0,29144,224702,0,253846
112630401100000,NE 160,RESIDENTIAL,30366,0,30366,177932,0,208298
112630401200000,NE 160,RESIDENTIAL,30607,0,30607,164156,0,194763
112630500100000,NE 160,RESIDENTIAL,30576,0,30576,245608,0,276184
112630500200000,NE 160,RESIDENTIAL,28657,0,28657,200356,0,229013
112630500300000,NE 160,RESIDENTIAL,28935,0,28935,197810,0,226745
112630500400000,NE 160,RESIDENTIAL,29988,0,29988,216702,0,246690
112630500500000,NE 160,RESIDENTIAL,28560,0,28560,203883,0,232443
112630500600000,NE 160,RESIDENTIAL,28560,0,28560,202105,0,230665
112630500700000,NE 160,RESIDENTIAL,32779,0,32779,199271,0,232050
112630600100000,NE 160,RESIDENTIAL,29404,0,29404,204018,0,233422
112630600200000,NE 160,RESIDENTIAL,29447,0,29447,220135,0,249582
112630600300000,NE 160,RESIDENTIAL,29125,0,29125,194847,0,223972
112630600400000,NE 160,RESIDENTIAL,30329,0,30329,247355,0,277684
112630600500000,NE 160,RESIDENTIAL,30031,0,30031,196992,0,227023
112630600600000,NE 160,RESIDENTIAL,26375,0,26375,197418,0,223793
112630600700000,NE 160,RESIDENTIAL,28546,0,28546,249256,0,277802
112630600800000,NE 160,RESIDENTIAL,27849,0,27849,238397,0,266246
112630600900000,NE 160,RESIDENTIAL,29400,0,29400,211508,0,240908
112630601000000,NE 160,RESIDENTIAL,26600,0,26600,208575,0,235175
112630601100000,NE 160,RESIDENTIAL,29400,0,29400,259628,0,289028
112630601200000,NE 160,RESIDENTIAL,28000,0,28000,225231,0,253231
112630601300000,NE 160,RESIDENTIAL,26600,0,26600,226353,0,252953
112630601400000,NE 160,RESIDENTIAL,29050,0,29050,243577,0,272627
112630601500000,NE 160,RESIDENTIAL,27687,0,27687,215820,0,243507
112630601600000,NE 160,RESIDENTIAL,29458,0,29458,216131,0,245589
112630601700000,NE 160,RESIDENTIAL,26781,0,26781,199314,0,226095
112630601800000,NE 160,RESIDENTIAL,27776,0,27776,236658,0,264434
112630601900000,NE 160,RESIDENTIAL,30048,0,30048,193622,0,223670
112630700100000,NE 160,RESIDENTIAL,30941,0,30941,191056,0,221997
112632700100000,NE 160,RESIDENTIAL,29747,0,29747,224805,0,254552
112632700200000,NE 160,RESIDENTIAL,31468,0,31468,238613,0,270081
112632700300000,NE 160,RESIDENTIAL,31890,0,31890,233325,0,265215
112632700400000,NE 160,RESIDENTIAL,27573,0,27573,206694,0,234267
112632700500000,NE 160,RESIDENTIAL,28881,0,28881,199235,0,228116
112632700600000,NE 160,RESIDENTIAL,28952,0,28952,211759,0,240711
112632700700000,NE 160,RESIDENTIAL,27927,0,27927,177047,0,204974
112632700800000,NE 160,RESIDENTIAL,29694,0,29694,187192,0,216886
112632700900000,NE 160,RESIDENTIAL,29610,0,29610,204410,0,234020
112632701000000,NE 160,RESIDENTIAL,29121,0,29121,175468,0,204589
112632701100000,NE 160,RESIDENTIAL,27846,0,27846,191760,0,219606
112632701200000,NE 160,RESIDENTIAL,29000,0,29000,224240,0,253240
112632701300000,NE 160,RESIDENTIAL,28960,0,28960,206754,0,235714
112632701400000,NE 160,RESIDENTIAL,30560,0,30560,205817,0,236377
112632701500000,NE 160,RESIDENTIAL,28560,0,28560,215113,0,243673
112632701600000,NE 160,RESIDENTIAL,29506,0,29506,210331,0,239837
112632701700000,NE 160,RESIDENTIAL,28960,0,28960,272737,0,301697
112632701800000,NE 160,RESIDENTIAL,26081,0,26081,224708,0,250789
112632701900000,NE 160,RESIDENTIAL,29299,0,29299,280154,0,309453
112632702000000,NE 160,RESIDENTIAL,28720,0,28720,195028,0,223748
112632702100000,NE 160,RESIDENTIAL,28885,0,28885,242360,0,271245
112632702200000,NE 160,RESIDENTIAL,26866,0,26866,187673,0,214539
112632702300000,NE 160,RESIDENTIAL,29694,0,29694,208979,0,238673
112632702400000,NE 160,RESIDENTIAL,29826,0,29826,258361,0,288187
112632800100000,NE 160,RESIDENTIAL,30245,0,30245,218997,0,249242
112632800200000,NE 160,RESIDENTIAL,71200,0,71200,41987,0,113187
112632800300000,NE 160,RESIDENTIAL,55350,0,55350,264343,0,319693
112632800400000,NE 160,RESIDENTIAL,53450,0,53450,175119,0,228569
112632800500000,NE 160,RESIDENTIAL,30594,0,30594,188748,0,219342
112632800600000,NE 160,RESIDENTIAL,30154,0,30154,236577,0,266731
112632800700000,NE 160,RESIDENTIAL,28560,0,28560,192501,0,221061
112632800800000,NE 160,RESIDENTIAL,30345,0,30345,208778,0,239123
112632800900000,NE 160,RESIDENTIAL,29850,0,29850,212497,0,242347
112632801000000,NE 160,RESIDENTIAL,32523,0,32523,215979,0,248502
112632801100000,NE 160,RESIDENTIAL,30358,0,30358,228133,0,258491
112632801200000,NE 160,RESIDENTIAL,29960,0,29960,209539,0,239499
112632801300000,NE 160,RESIDENTIAL,30749,0,30749,238554,0,269303
112632801400000,NE 160,RESIDENTIAL,29753,0,29753,266341,0,296094
112632801500000,NE 160,RESIDENTIAL,29724,0,29724,191923,0,221647
112632801600000,NE 160,RESIDENTIAL,28650,0,28650,208036,0,236686
112632801700000,NE 160,RESIDENTIAL,29613,0,29613,201381,0,230994
112632801800000,NE 160,RESIDENTIAL,28636,0,28636,199288,0,227924
112632801900000,NE 160,RESIDENTIAL,29441,0,29441,186331,0,215772
112632802000000,NE 160,RESIDENTIAL,30118,0,30118,206654,0,236772
112632802100000,NE 160,RESIDENTIAL,28560,0,28560,208192,0,236752
112632802200000,NE 160,RESIDENTIAL,29167,0,29167,169066,0,198233
112632802300000,NE 160,RESIDENTIAL,27846,0,27846,213612,0,241458
112632802400000,NE 160,RESIDENTIAL,29988,0,29988,209595,0,239583
112632802500000,NE 160,RESIDENTIAL,28560,0,28560,211165,0,239725
112632900100000,NE 160,RESIDENTIAL,30941,0,30941,227110,0,258051
112632900200000,NE 160,RESIDENTIAL,28595,0,28595,217907,0,246502
112632900300000,NE 160,RESIDENTIAL,27418,0,27418,203673,0,231091
112632900400000,NE 160,RESIDENTIAL,29057,0,29057,189744,0,218801
112632900500000,NE 160,RESIDENTIAL,29204,0,29204,227165,0,256369
112632900600000,NE 160,RESIDENTIAL,27569,0,27569,253510,0,281079
112632900700000,NE 160,RESIDENTIAL,29416,0,29416,215695,0,245111
112632900800000,NE 160,RESIDENTIAL,27132,0,27132,212171,0,239303
112632900900000,NE 160,RESIDENTIAL,28560,0,28560,212982,0,241542
112632901000000,NE 160,RESIDENTIAL,29988,0,29988,243206,0,273194
112632901100000,NE 160,RESIDENTIAL,28152,0,28152,191789,0,219941
112632901200000,NE 160,RESIDENTIAL,28768,0,28768,201881,0,230649
112632901300000,NE 160,RESIDENTIAL,29077,0,29077,212510,0,241587
112635100100000,NE 160,RESIDENTIAL,30358,0,30358,214685,0,245043
112635100200000,NE 160,RESIDENTIAL,28628,0,28628,200516,0,229144
112635100300000,NE 160,RESIDENTIAL,29799,0,29799,209948,0,239747
112635100400000,NE 160,RESIDENTIAL,28117,0,28117,218744,0,246861
112635100500000,NE 160,RESIDENTIAL,31091,0,31091,263263,0,294354
112635100600000,NE 160,RESIDENTIAL,30677,0,30677,264295,0,294972
112635100700000,NE 160,RESIDENTIAL,28591,0,28591,186644,0,215235
112635100800000,NE 160,RESIDENTIAL,29757,0,29757,204223,0,233980
112635200100000,NE 160,RESIDENTIAL,28679,0,28679,189295,0,217974
112635200200000,NE 160,RESIDENTIAL,30891,0,30891,213110,0,244001
112635200300000,NE 160,RESIDENTIAL,29106,0,29106,202449,0,231555
112635200400000,NE 160,RESIDENTIAL,30345,0,30345,228937,0,259282
112635300100000,NE 160,RESIDENTIAL,30184,0,30184,203895,0,234079
112635300200000,NE 160,RESIDENTIAL,28566,0,28566,194810,0,223376
112635300300000,NE 160,RESIDENTIAL,30297,0,30297,182965,0,213262
112635300400000,NE 160,RESIDENTIAL,28560,0,28560,187101,0,215661
112635300500000,NE 160,RESIDENTIAL,28560,0,28560,207100,0,235660
112635300600000,NE 160,RESIDENTIAL,28842,0,28842,194745,0,223587
112635300700000,NE 160,RESIDENTIAL,28828,0,28828,204088,0,232916
112635300800000,NE 160,RESIDENTIAL,29225,0,29225,202985,0,232210
112635300900000,NE 160,RESIDENTIAL,28538,0,28538,204073,0,232611
112635301000000,NE 160,RESIDENTIAL,28560,0,28560,185997,0,214557
112635301100000,NE 160,RESIDENTIAL,28560,0,28560,175876,0,204436
112635301200000,NE 160,RESIDENTIAL,28190,0,28190,221658,0,249848
112635301300000,NE 160,RESIDENTIAL,29939,0,29939,200544,0,230483
112635301400000,NE 160,RESIDENTIAL,30316,0,30316,189004,0,219320
112635301500000,NE 160,RESIDENTIAL,29925,0,29925,205389,0,235314
112635301600000,NE 160,RESIDENTIAL,30330,0,30330,208230,0,238560
112635301700000,NE 160,RESIDENTIAL,28574,0,28574,218721,0,247295
112635301800000,NE 160,RESIDENTIAL,29988,0,29988,235521,0,265509
112635301900000,NE 160,RESIDENTIAL,27132,0,27132,195075,0,222207
112635302000000,NE 160,RESIDENTIAL,29432,0,29432,258793,0,288225
112635302100000,NE 160,RESIDENTIAL,29869,0,29869,210635,0,240504
112635302200000,NE 160,RESIDENTIAL,29869,0,29869,213991,0,243860
112635302300000,NE 160,RESIDENTIAL,29234,0,29234,208447,0,237681
112635302400000,NE 160,RESIDENTIAL,28870,0,28870,209679,0,238549
112635302500000,NE 160,RESIDENTIAL,29080,0,29080,196211,0,225291
112635302600000,NE 160,RESIDENTIAL,30715,0,30715,193348,0,224063
112635302700000,NE 160,RESIDENTIAL,31395,0,31395,212564,0,243959
112635302800000,NE 160,RESIDENTIAL,29400,0,29400,210290,0,239690
112635400100000,NE 160,RESIDENTIAL,28333,0,28333,177127,0,205460
112635400200000,NE 160,RESIDENTIAL,28560,0,28560,211163,0,239723
112635400300000,NE 160,RESIDENTIAL,29466,0,29466,209878,0,239344
112635400400000,NE 160,RESIDENTIAL,29938,0,29938,214559,0,244497
112635400500000,NE 160,RESIDENTIAL,30381,0,30381,218446,0,248827
112635400600000,NE 160,RESIDENTIAL,33005,0,33005,186865,0,219870
112635400700000,NE 160,RESIDENTIAL,32452,0,32452,226094,0,258546
112635400800000,NE 160,RESIDENTIAL,29976,0,29976,209894,0,239870
112635400900000,NE 160,RESIDENTIAL,29420,0,29420,249305,0,278725
112635401000000,NE 160,RESIDENTIAL,29267,0,29267,218017,0,247284
112635401100000,NE 160,RESIDENTIAL,28854,0,28854,213316,0,242170
112635401200000,NE 160,RESIDENTIAL,29566,0,29566,191068,0,220634
112635401300000,NE 160,RESIDENTIAL,29830,0,29830,200084,0,229914
112635401400000,NE 160,RESIDENTIAL,30444,0,30444,245727,0,276171
112635401500000,NE 160,RESIDENTIAL,30559,0,30559,213330,0,243889
112635401600000,NE 160,RESIDENTIAL,30667,0,30667,234100,0,264767
112635401700000,NE 160,RESIDENTIAL,46350,0,46350,272371,0,318721
112635401800000,NE 160,RESIDENTIAL,31601,0,31601,255321,0,286922
112635401900000,NE 160,RESIDENTIAL,30521,0,30521,214297,0,244818
112635402000000,NE 160,RESIDENTIAL,30523,0,30523,213880,0,244403
112635402100000,NE 160,RESIDENTIAL,30674,0,30674,235871,0,266545
112635402200000,NE 160,RESIDENTIAL,29130,0,29130,205776,0,234906
112635402300000,NE 160,RESIDENTIAL,30800,0,30800,223054,0,253854
112635402400000,NE 160,RESIDENTIAL,29188,0,29188,196940,0,226128
112635402500000,NE 160,RESIDENTIAL,28000,0,28000,237944,0,265944
112635402600000,NE 160,RESIDENTIAL,29792,0,29792,220840,0,250632
112635402700000,NE 160,RESIDENTIAL,29792,0,29792,195996,0,225788
112635402800000,NE 160,RESIDENTIAL,29792,0,29792,223399,0,253191
112635402900000,NE 160,RESIDENTIAL,29420,0,29420,197882,0,227302
112635403000000,NE 160,RESIDENTIAL,28616,0,28616,190507,0,219123
112635403100000,NE 160,RESIDENTIAL,29715,0,29715,191251,0,220966
112635403200000,NE 160,RESIDENTIAL,30164,0,30164,257381,0,287545
112635403300000,NE 160,RESIDENTIAL,30264,0,30264,213819,0,244083
112635403400000,NE 160,RESIDENTIAL,29543,0,29543,171209,0,200752
112635403500000,NE 160,RESIDENTIAL,28989,0,28989,217954,0,246943
112635403600000,NE 160,RESIDENTIAL,30070,0,30070,208351,0,238421
112635403700000,NE 160,RESIDENTIAL,31086,0,31086,212387,0,243473
112635403800000,NE 160,RESIDENTIAL,30070,0,30070,236651,0,266721
112635403900000,NE 160,RESIDENTIAL,29096,0,29096,224472,0,253568
112635404000000,NE 160,RESIDENTIAL,30807,0,30807,182169,0,212976
112635404100000,NE 160,RESIDENTIAL,28613,0,28613,219537,0,248150
112635404200000,NE 160,RESIDENTIAL,29318,0,29318,202027,0,231345
112635500100000,NE 160,RESIDENTIAL,30446,0,30446,186040,0,216486
112635600100000,NE 160,RESIDENTIAL,31118,0,31118,197421,0,228539
112635700100000,NE 160,RESIDENTIAL,32879,0,32879,272811,0,305690
112635700300000,NE 160,RESIDENTIAL,29605,0,29605,202670,0,232275
112635700400000,NE 160,RESIDENTIAL,29393,0,29393,198729,0,228122
112635700500000,NE 160,RESIDENTIAL,28561,0,28561,199681,0,228242
112637600100000,NE 160,RESIDENTIAL,28938,0,28938,202626,0,231564
112637600200000,NE 160,RESIDENTIAL,29481,0,29481,210435,0,239916
112637600300000,NE 160,RESIDENTIAL,29451,0,29451,166852,0,196303
112637600400000,NE 160,RESIDENTIAL,29724,0,29724,180379,0,210103
112637600500000,NE 160,RESIDENTIAL,29684,0,29684,191498,0,221182
