GIS_Number,Doing Business As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area,_unnamed,2008 Land,2008 Dwlg,2008 Improv,2008 total,GIS_Number_valuations,Map_Name_valuations,Class_valuations,2008 Land,2008 Dwlg,2008 Improv,2008 total,GIS_Number_valuations,Map_Name_valuations,Class_valuations,2016 Land Res,2016 Land Comm,2016 Land Total,2016 Dwlg,2016 Improv,2016 Total
112732600500000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,1.81,,,,,,,,,0,0,0,0,112732600500000,Empty,Exempt,0,0,0,0,112732600500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112732601500000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,3.09,,,,,,,,,0,0,0,0,112732601500000,Empty,Exempt,0,0,0,0,112732601500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112735404100000,,Exempt,NE 101,7520,COUNCIL ST NE,CEDAR RAPIDS CITY OF,5.84,,,,,,,,,0,0,0,0,112735404100000,NE 101,Exempt,0,0,0,0,112735404100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112740200500000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,2.4424,,,,,,,,,0,0,0,0,112740200500000,Empty,Exempt,0,0,0,0,112740200500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112747600100000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,112747600100000,Empty,Exempt,0,0,0,0,112747600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112845101200000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,2.03,,,,,,,,,0,0,0,0,112845101200000,Empty,Exempt,0,0,0,0,112845101200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112845101400000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,4.04,,,,,,,,,0,0,0,0,112845101400000,Empty,Exempt,0,0,0,0,112845101400000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112845101500000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,2.49,,,,,,,,,0,0,0,0,112845101500000,Empty,Exempt,0,0,0,0,112845101500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112847601500000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.41,,,,,,,,,0,0,0,0,112847601500000,Empty,Exempt,0,0,0,0,112847601500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112847701500000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.82,,,,,,,,,0,0,0,0,112847701500000,Empty,Exempt,0,0,0,0,112847701500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113132700100000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.6054,,,,,,,,,0,0,0,0,113132700100000,Empty,Exempt,0,0,0,0,113132700100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113132701000000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,113132701000000,Empty,Exempt,0,0,0,0,113132701000000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113315103900000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,14.93,,,,,,,,,0,0,0,0,113315103900000,Empty,Exempt,0,0,0,0,113315103900000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113315104000000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,113315104000000,Empty,Exempt,0,0,0,0,113315104000000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113410400200000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.96,,,,,,,,,0,0,0,0,113410400200000,Empty,Exempt,0,0,0,0,113410400200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113413002200000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,113413002200000,Empty,Exempt,0,0,0,0,113413002200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113417700300000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,8.5,,,,,,,,,0,0,0,0,113417700300000,Empty,Exempt,0,0,0,0,113417700300000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113425100100000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,1.3901,,,,,,,,,0,0,0,0,113425100100000,Empty,Exempt,0,0,0,0,113425100100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113425400300000,,Exempt,NE 159,6900,COUNCIL ST NE,CEDAR RAPIDS CITY OF,0.7,,,,,,,,,0,0,0,0,113425400300000,NE 159,Exempt,0,0,0,0,113425400300000,NE 159,RESIDENTIAL,10100,0,10100,0,0,10100
113425800100000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.97,,,,,,,,,0,0,0,0,113425800100000,Empty,Exempt,0,0,0,0,113425800100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113425900100000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,1.4,,,,,,,,,0,0,0,0,113425900100000,Empty,Exempt,0,0,0,0,113425900100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113440300100000,,Exempt,Empty,415,BRODERICK DR NE,CITY OF CEDAR RAPIDS,0.5939,,,,,,,,,0,0,0,0,113440300100000,Empty,Exempt,0,0,0,0,113440300100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113447600100000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,18.13,,,,,,,,,0,0,0,0,113447600100000,Empty,Exempt,0,0,0,0,113447600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113447601000000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,1.5875,,,,,,,,,0,0,0,0,113447601000000,Empty,Exempt,0,0,0,0,113447601000000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113447601900000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,1.3769,,,,,,,,,0,0,0,0,113447601900000,Empty,Exempt,0,0,0,0,113447601900000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113535200300000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,21.03,,,,,,,,,0,0,0,0,113535200300000,Empty,Exempt,0,0,0,0,113535200300000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113542800200000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,13.73,,,,,,,,,0,0,0,0,113542800200000,Empty,Exempt,0,0,0,0,113542800200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
123610201200000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.3594,,,,,,,,,0,0,0,0,123610201200000,Empty,Exempt,0,0,0,0,123610201200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
123640300700000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,1.5,,,,,,,,,0,0,0,0,123640300700000,Empty,Exempt,0,0,0,0,123640300700000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
131147600100000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,109.52,,,,,,,,,0,0,0,0,131147600100000,Empty,Exempt,0,0,0,0,131147600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
131327600100000,SEMINOLE PARK,Exempt,Empty,5925,SEMINOLE VALLEY TR NE,CITY OF CEDAR RAPIDS,217.27,,,,,,,,,0,0,0,0,131327600100000,Empty,Exempt,0,0,0,0,131327600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
131345101000000,,Exempt,Empty,0,VACANT LOT NW,CITY OF CEDAR RAPIDS,0.4165,,,,,,,,,0,0,0,0,131345101000000,Empty,Exempt,0,0,0,0,131345101000000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
131410100100000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,80.26,,,,,,,,,0,0,0,0,131410100100000,Empty,Exempt,0,0,0,0,131410100100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
