GIS_Number,GIS_Number_2,Doing_Business_As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area
142220500100000,142220500100000,CENTRAL PARK,EXEMPT,CITY PROPERTY,1556,B AVE NE,CEDAR RAPIDS CITY OF,0.2185,,,,,,,
132515100200000,132515100200000,CHEROKEE PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.281,,,,,,,
132515300800000,132515300800000,CHEROKEE PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.298,,,,,,,
132527601000000,132527601000000,CHEROKEE PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.405,,,,,,,
132515100300000,132515100300000,CHEROKEE PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.422,,,,,,,
132515100100000,132515100100000,CHEROKEE PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.585,,,,,,,
132517600200000,132517600200000,CHEROKEE PARK,EXEMPT,CITY PROPERTY,3572,JOHNSON AVE NW,CEDAR RAPIDS CITY OF,4.0,,,,,,,
132515200100000,132515200100000,CHEROKEE PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,10.53,,,,,,,
132627600100000,132627600100000,CHERRY HILL PARK,EXEMPT,CITY PROPERTY,341,STONEY POINT RD NW,CEDAR RAPIDS CITY OF,56.27,,,,,,,
153222600100000,153222600100000,CHEYENNE PARK,EXEMPT,CITY PROPERTY,1401,CEDAR BEND LN SW,CEDAR RAPIDS CITY OF,31.1042,,,,,,,
191530100200000,191530100200000,CITY ANIMAL SHELTER,EXEMPT,CITY PROPERTY,900,76TH AVE DR SW,CEDAR RAPIDS CITY OF,1.18,,,,,,,
142847801200000,142847801200000,CITY PARKING LOT,EXEMPT,CITY PROPERTY,50,16TH AVE SW,CEDAR RAPIDS CITY OF,0.0597,,,,,,,
