GIS_Number,Doing_Business_As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area,2016 Land Res,2016 Land Comm,2016 Land Total,2016 Dwlg,2016 Improv,2016 Total,GIS_Number_valuations,Map_Name_valuations,Class_valuations,2008 Land,2008 Dwlg,2008 Improv,2008 total
132527601000000,CHEROKEE PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.405,,,,,,,,0,0,0,0,0,0,132527601000000,Empty,Exempt,0,0,0,0
132515100300000,CHEROKEE PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.422,,,,,,,,0,0,0,0,0,0,132515100300000,Empty,Exempt,0,0,0,0
132515100100000,CHEROKEE PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.585,,,,,,,,0,0,0,0,0,0,132515100100000,Empty,Exempt,0,0,0,0
132517600200000,CHEROKEE PARK,EXEMPT,CITY PROPERTY,3572,JOHNSON AVE NW,CEDAR RAPIDS CITY OF,4.0,,,,,,,,0,0,0,0,0,0,132517600200000,Empty,Exempt,0,0,0,0
132515200100000,CHEROKEE PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,10.53,,,,,,,,0,0,0,0,0,0,132515200100000,Empty,Exempt,0,0,0,0
132627600100000,CHERRY HILL PARK,EXEMPT,CITY PROPERTY,341,STONEY POINT RD NW,CEDAR RAPIDS CITY OF,56.27,,,,,,,,0,0,0,0,0,0,132627600100000,Empty,Exempt,0,0,0,0
153222600100000,CHEYENNE PARK,EXEMPT,CITY PROPERTY,1401,CEDAR BEND LN SW,CEDAR RAPIDS CITY OF,31.1042,,,,,,,,0,0,0,0,0,0,153222600100000,Empty,Exempt,0,0,0,0
191530100200000,CITY ANIMAL SHELTER,EXEMPT,CITY PROPERTY,900,76TH AVE DR SW,CEDAR RAPIDS CITY OF,1.18,,,,,,,,0,0,0,0,0,0,,,,,,,
142847801200000,CITY PARKING LOT,EXEMPT,CITY PROPERTY,50,16TH AVE SW,CEDAR RAPIDS CITY OF,0.0597,,,,,,,,0,0,0,0,0,0,142847801200000,COMM SW,Commercial,16848,0,63691,80539
142146001400000,CITY PARKING RAMP,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.01,,,,,,,,0,0,0,0,0,0,,,,,,,
142146001500000,CITY PARKING RAMP,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.01,,,,,,,,0,0,0,0,0,0,,,,,,,
142146001200000,CITY PARKING RAMP,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.02,,,,,,,,0,0,0,0,0,0,,,,,,,
142146001300000,CITY PARKING RAMP,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.02,,,,,,,,0,0,0,0,0,0,,,,,,,
142146000200000,CITY PARKING RAMP,EXEMPT,CITY PROPERTY,325,1ST AVE SE,CEDAR RAPIDS CITY OF,0.3214,,,,,,,,0,0,0,0,0,0,142146000200000,Empty,Exempt,0,0,0,0
141632600100000,CITY WATER WORKS,EXEMPT,CITY PROPERTY,1111,SHAVER RD NE,CEDAR RAPIDS CITY OF,17.77,,,,,,,,0,0,0,0,0,0,141632600100000,Empty,Exempt,0,0,0,0
142932600100000,CLEVELAND PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,8.6736,,,,,,,,0,0,0,0,0,0,142932600100000,Empty,Exempt,0,0,0,0
132632700300000,COOLIDGE PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,2.538,,,,,,,,0,0,0,0,0,0,132632700300000,Empty,Exempt,0,0,0,0
143115202900000,CORNER OF WILSON AVE SW AND 25TH ST SW,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,1.65,,,,,,,,0,0,0,0,0,0,143115202900000,Empty,Exempt,0,0,0,0
140330100200000,CREEKSIDE PAVILLION WADING POOL,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,2.81,,,,,,,,0,0,0,0,0,0,140330100200000,Empty,Exempt,0,0,0,0
142820300100000,CTY HALL,EXEMPT,CITY PROPERTY,101,1ST ST SE,CEDAR RAPIDS CITY OF,1.2948,,,,,,,,0,0,0,0,0,0,142820300100000,Empty,Exempt,0,0,0,0
141640100100000,DANIELS PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,25.67,,,,,,,,0,0,0,0,0,0,141640100100000,Empty,Exempt,0,0,0,0
133517600100000,DELANEY PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,16.39,,,,,,,,0,0,0,0,0,0,133517600100000,Empty,Exempt,0,0,0,0
113425800100000,DETENTION AREA,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.97,,,,,,,,0,0,0,0,0,0,113425800100000,Empty,Exempt,0,0,0,0
