Physician_Profile_ID,Category,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Category,Record_ID
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,3600.00,11/11/2014,GNRL,188144230
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,3375.00,12/11/2015,GNRL,332521601
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,3375.00,04/09/2015,GNRL,332519391
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,3275.00,05/08/2014,GNRL,187880964
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,3275.00,07/28/2014,GNRL,187986556
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,3275.00,01/16/2015,GNRL,332293913
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,3275.00,11/13/2015,GNRL,332487035
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,3275.00,11/18/2015,GNRL,332490611
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,1900.00,11/15/2013,GNRL,14023911
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,1900.00,10/24/2013,GNRL,14023912
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,1637.50,10/02/2015,GNRL,332475531
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,1500.00,10/18/2013,GNRL,14023910
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,1077.08,07/28/2014,GNRL,187988780
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,1000.00,07/23/2015,GNRL,331468489
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,945.50,05/08/2014,GNRL,187882156
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,909.89,01/16/2015,GNRL,332293884
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,805.21,10/24/2013,GNRL,14023920
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,781.24,07/28/2014,GNRL,187988774
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,717.68,12/03/2015,GNRL,332516593
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,692.50,10/18/2013,GNRL,14023919
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,658.24,11/13/2015,GNRL,332487027
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,646.45,07/23/2015,GNRL,331468487
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,575.42,03/26/2015,GNRL,332510851
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,546.66,10/23/2014,GNRL,188120378
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,472.58,10/18/2013,GNRL,14023917
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,462.17,01/16/2015,GNRL,332293922
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,398.40,07/23/2015,GNRL,331468407
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,380.66,10/18/2013,GNRL,14023916
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,368.74,11/15/2013,GNRL,14023924
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,257.83,01/16/2015,GNRL,332293932
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,250.00,07/16/2014,GNRL,187963888
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,239.56,05/08/2014,GNRL,187882132
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,220.48,11/15/2013,GNRL,14023925
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,217.50,10/18/2013,GNRL,14023918
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,179.19,11/13/2015,GNRL,332487031
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,171.00,12/03/2015,GNRL,332516557
