Physician_Profile_ID,Category,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Category,Record_ID
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,1.82,11/14/2014,GNRL,199571010
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,1.76,04/25/2014,GNRL,199571008
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,1.67,02/10/2014,GNRL,199571002
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,1.67,01/09/2014,GNRL,199570998
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,1.67,02/14/2014,GNRL,199571004
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,1.52,05/02/2014,GNRL,199570995
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,1.48,08/21/2014,GNRL,199570992
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,1.41,06/04/2014,GNRL,199570988
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,1.39,04/15/2014,GNRL,199570984
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,1.29,05/13/2014,GNRL,199570978
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,1.26,01/27/2014,GNRL,199570976
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,1.15,05/13/2014,GNRL,199570970
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,1.15,07/15/2014,GNRL,199570974
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,1.09,11/18/2014,GNRL,199570966
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,1.08,02/25/2014,GNRL,199570962
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,1.07,11/25/2014,GNRL,199570958
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,1.05,05/22/2014,GNRL,199570954
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,0.90,07/09/2014,GNRL,199570950
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,0.86,08/14/2014,GNRL,199570948
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,0.86,06/18/2014,GNRL,199570944
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,0.82,07/22/2014,GNRL,199570942
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,0.73,09/02/2014,GNRL,199570938
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,0.68,07/01/2014,GNRL,199570934
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,0.60,06/13/2014,GNRL,199570930
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,0.59,07/25/2014,GNRL,199570926
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,0.57,07/29/2014,GNRL,199570923
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,0.55,11/11/2014,GNRL,199570920
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,0.52,02/10/2014,GNRL,199570918
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,0.50,05/27/2014,GNRL,199570914
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,0.45,09/24/2014,GNRL,199570910
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,0.36,06/10/2014,GNRL,199570908
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,0.27,04/25/2014,GNRL,199570902
