word,count
iowa,53
we,44
i,29
it,27
new,18
opportunity,15
you,15
teachers,13
today,10
iowans,10
me,9
percent,9
students,9
nation,8
they,8
all,8
better,8
education,8
opportunities,8
us,7
economic,7
efforts,7
over,7
states,7
high,7
children,7
good,7
people,7
jobs,7
economy,6
property taxes,6
history,6
doctors,6
together,6
many,6
medical,6
world,6
first,6
chapter,6
life,5
skilled iowa,5
businesses,5
past,5
property,5
classes,5
dollars,5
future,5
home,4
initiative,4
one,4
ready,4
addition,4
significant,4
math,4
ability,4
schools,4
unprecedented,4
system,4
second,4
educational,4
health,4
three,4
he,4
growth,4
other,4
fiscal,3
clear,3
president,3
families,3
citizens,3
residents,3
year,3
living,3
development efforts,3
ways,3
lower,3
chamber,3
taxpayers,3
areas,3
property tax relief,3
property tax,3
middle,3
quality,3
school,3
local,3
third,3
current,3
two years,3
great,3
committed,3
result,3
employers,3
program,3
financial,3
here,3
them,3
college,3
career,3
classroom,3
investments,3
god,3
two,3
this year,2
period,2
action,2
condition,2
iowa children,2
family incomes,2
outstanding,2
highest,2
programs,2
provided,2
leaders,2
proud,2
far,2
expansion,2
business,2
day,2
surplus,2
slipped,2
modern,2
possible,2
competitive,2
million,2
400,2
simple,2
additional,2
last year,2
legislation,2
governor,2
same,2
cap,2
land,2
half,2
law,2
governments,2
resources,2
small,2
capital,2
young,2
taxes,2
employees,2
still,2
class families,2
recruit,2
investment,2
expense,2
administration,2
skills,2
embarked,2
flyover country,2
five year,2
projection,2
principles,2
workers,2
iowa families,2
china,2
skilled workforce,2
next,2
reference,2
unemployment,2
100000,2
dinner we,2
massachusetts,2
lt governor,2
classrooms,2
daughter,2
top,2
vice president xi,2
heart,2
iowa schools,2
teacher leadership,2
country,2
delegation,2
important,2
careers,2
four,2
united states,2
america,2
stronger,2
real,2
iowa the healthiest state,2
medicine,2
science,2
healthy,2
technology,2
behind,2
rural,2
fact,2
two million,2
proposal,2
right,2
government,2
