word,count
iowa,36
we,34
i,27
iowans,17
new,17
jobs,15
other,13
all,13
children,12
economic,12
together,11
today,11
it,11
us,10
schools,9
they,9
businesses,9
ready,9
companies,8
you,8
local,7
small,7
here,7
first,7
future,7
growth,7
opportunities,6
careers,6
expansion,6
one,6
high,6
education,6
good,6
great,5
life,5
world,5
done,5
opportunity,5
she,5
addition,4
company,4
economy,4
permanent,4
four,4
property taxes,4
nation,4
most,4
business owners,4
fiscal,4
thousands,4
success,4
time,4
many,4
full,4
young,4
chamber,3
unprecedented,3
better,3
major,3
common,3
world class education,3
fund,3
tomorrow,3
piece,3
action,3
commercial,3
states,3
investment,3
technology,3
leaders,3
part,3
year,3
property,3
important,3
tool,3
business,3
citizens,3
result,3
efforts,3
them,3
stability,3
over,3
students,3
teachers,3
innovative,3
fort,2
last year,2
model,2
plant,2
iowans home,2
due,2
strong,2
agricultural,2
past,2
simple,2
republicans,2
iowa partnership,2
democrats,2
job creators,2
prosperity,2
sustainable,2
critically,2
people,2
taxpayers,2
jobs we,2
careers we,2
greater,2
industrial,2
there,2
discussion,2
job,2
immigrant entrepreneurs,2
ideas,2
interests,2
number,2
commit,2
next,2
annual,2
quality jobs program,2
two,2
educational,2
program,2
lt governor,2
third,2
legislation,2
suppliers,2
tools,2
waterloo,2
second,2
rural,2
iowa communities,2
sale,2
community,2
families,2
he,2
this year,2
quality,2
essential,2
clear,2
able,2
blueprint,2
open,2
house,2
family,2
content,2
principals,2
classrooms,2
standards,2
healthy,2
arts,2
kindergarten,2
grade,2
college,2
career,2
school,2
child,2
continually,2
accountable,2
imagine…,2
aspirations,2
obligation,2
iowa corn,1
chinese,1
production,1
fellow iowans,1
every other emerging nation,1
mantle,1
the necessary steps,1
500,1
big,1
september,1
back,1
korea,1
china,1
japan,1
order ended,1
investment mission,1
beijing,1
dependency,1
hebei province party,1
official,1
1985,1
vice president,1
time revenue funded,1
balanced,1
trip,1
revenue,1
country,1
visited,1
funds,1
poised,1
